,IL1L,IL1R,IL1VR,FLPL,URYDL,IL1VL,URYVR,URYDR,IL1DR,OLQDR,OLQVL,OLLR,FLPR,URYVL,IL1DL,OLLL,ADER,OLQDL,ADEL,ADLL,AQR,ASHL,ADLR,ASHR,IL2DL,ASGL,ASKL,ASGR,ASKR,IL2DR,CEPDL,OLQVR,BAGR,IL2VR,CEPVL,ASIR,IL2VL,AWAR,CEPVR,IL2L,AWAL,CEPDR,BAGL,URXR,ASIL,AWCR,ASER,IL2R,AWCL,URXL,ASEL,AWBR,AWBL,AVDR,AVDL,AVBR,SAAVR,SAAVL,RICL,AVER,AVBL,RICR,SAADR,RIAR,RIAL,SAADL,AVEL,AVJR,RMGL,ADAR,ALA,ADAL,RIMR,AVJL,RIML,AIBL,AVAL,AUAL,RIS,AIBR,AVAR,AVKR,RIBR,AVL,AVHL,AINL,RIBL,AIML,AINR,AIMR,RID,AVKL,URBL,AIZR,AIZL,URBR,AUAR,AIYL,RIR,RIH,AIYR,RMDDR,RMDVR,RMDVL,RMED,RMDDL,RMEV,URAVL,URADR,RIVL,URADL,URAVR,RIVR,SMDDR,RMER,SMBVR,SMDVR,RMEL,SMDVL,SMDDL,RMDR,RMDL
URADL,7,6,6,8,4,4,6,5,6,7,7,8,5,7,6,7,4,7,7,4,1,3,2,0,7,6,2,5,2,7,8,4,0,6,7,3,5,4,5,7,6,7,2,5,2,4,5,6,7,6,7,5,8,5,6,0,1,6,8,5,2,5,1,4,6,1,7,6,3,1,1,6,1,8,2,7,7,7,1,7,7,0,0,0,2,6,1,2,5,2,7,0,7,7,8,6,2,1,0,5,2,6,8,7,2,8,2,4,3,8,0,1,7,2,8,1,6,7,7,4,2,7
URAVR,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,0,2,0,0,2,2,1,1,1,2,2,2,0,2,1,1,2,0,1,2,1,2,2,2,2,1,0,1,1,1,2,1,2,2,2,0,0,1,2,1,1,2,1,0,1,1,1,2,0,0,0,1,2,2,2,2,1,2,1,2,0,0,0,0,2,1,1,1,1,1,1,0,2,2,2,2,1,2,0,2,2,2,2,2,0,1,1,2,1,2,1,0,2,0,2,0,1,2,2,1,0,2
RIVR,13,12,10,15,12,9,11,11,14,14,14,15,9,16,13,14,8,15,13,8,4,5,5,0,14,14,2,11,2,15,16,11,0,13,13,6,10,9,10,13,10,15,6,12,5,9,7,11,15,13,13,10,16,12,14,2,4,9,14,12,4,10,4,7,11,3,10,14,5,1,2,11,7,15,7,14,14,14,3,15,12,2,3,4,6,11,9,3,10,4,12,1,14,15,14,9,7,3,3,12,4,11,12,12,2,14,6,5,3,16,7,2,0,4,15,1,11,13,15,6,3,12
SMDDR,3,3,3,4,2,2,3,3,4,3,3,3,2,4,2,2,1,3,4,1,1,0,1,0,3,3,0,4,0,3,4,3,0,2,3,2,1,3,3,4,4,3,2,1,0,2,2,3,4,3,4,4,4,2,4,0,1,4,4,2,1,3,2,2,2,2,2,4,2,0,1,3,0,4,0,4,4,4,1,4,3,0,0,0,1,3,2,0,3,0,3,0,4,4,4,3,2,0,1,2,0,2,2,3,0,4,1,1,0,4,2,0,4,0,4,0,3,3,3,3,1,2
RMER,14,12,11,15,12,10,12,12,15,15,15,16,9,16,14,15,7,16,14,9,4,7,5,0,16,14,2,12,2,15,17,11,0,12,14,6,11,10,11,15,10,16,7,13,5,10,7,11,16,14,14,10,17,11,15,2,4,11,15,13,4,9,4,7,11,3,11,13,6,1,1,11,6,16,6,15,15,15,3,15,13,2,3,5,5,12,9,3,11,4,13,2,15,15,14,9,7,3,3,13,4,11,14,13,2,15,6,7,4,17,8,2,15,4,0,2,11,14,15,6,5,13
SMBVR,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,0,2,1,1,1,1,2,2,1,0,1,2,1,0,2,2,1,0,2,0,2,1,1,1,0,2,2,2,1,2,1,2,0,1,2,2,2,0,1,0,1,1,0,1,1,1,0,0,2,1,1,1,2,2,2,0,1,2,0,1,1,1,2,1,0,1,0,2,0,2,1,1,1,1,0,0,2,0,2,2,2,1,2,1,1,2,2,1,0,1,0,2,0,2,2,2,0,1,1
SMDVR,10,11,8,12,8,7,10,9,10,10,11,11,5,11,9,10,7,11,12,6,4,4,4,0,10,10,3,9,3,11,12,7,0,9,9,3,6,8,9,9,8,11,4,9,3,8,5,8,11,11,10,7,12,7,11,1,4,7,11,10,2,7,3,7,8,2,9,10,5,1,2,11,5,11,6,12,11,11,1,11,11,2,2,3,4,10,7,3,6,4,10,1,10,11,11,5,5,2,2,9,3,10,9,9,3,12,4,4,3,12,6,1,11,3,11,2,0,10,11,6,3,10
RMEL,13,12,11,13,10,9,11,10,13,13,13,15,8,14,12,14,7,14,13,6,3,6,4,0,13,12,3,10,3,13,15,10,0,12,14,6,9,8,10,12,9,14,6,12,3,8,6,8,14,12,11,8,15,11,14,2,3,9,13,11,2,10,3,5,10,2,10,12,4,1,2,10,6,14,6,14,13,13,2,13,11,1,3,4,4,10,8,2,10,3,12,1,12,13,12,8,7,3,4,13,4,11,13,13,3,13,4,5,3,15,7,2,13,3,14,2,10,0,13,5,4,11
SMDVL,14,12,10,15,12,10,11,11,14,15,15,15,8,15,14,15,7,16,13,8,4,6,4,0,15,13,3,10,3,16,16,11,0,12,13,5,10,9,11,13,9,16,6,13,5,9,6,10,15,14,13,9,16,12,14,2,3,9,14,13,4,9,3,8,10,2,10,13,5,1,2,11,7,15,7,14,14,14,3,14,12,2,3,4,6,12,9,3,9,4,13,1,14,14,14,8,6,3,3,13,4,11,12,12,3,14,5,5,4,16,7,2,15,3,15,2,11,13,0,5,4,12
SMDDL,5,5,5,6,3,4,5,4,4,4,5,5,3,6,3,4,3,5,6,3,1,2,2,0,5,5,1,6,1,5,6,4,0,3,4,1,3,3,5,5,5,5,3,3,1,5,2,5,5,5,6,4,6,4,6,0,1,5,5,4,1,3,2,3,5,2,5,6,2,0,1,6,2,6,2,6,5,6,1,6,5,1,0,0,2,5,2,1,3,2,5,0,6,6,6,4,3,2,0,4,2,5,5,4,1,6,2,2,1,6,4,1,6,3,6,0,6,5,5,0,2,5
RMDR,5,2,4,4,4,5,2,4,5,4,5,4,2,4,4,4,1,5,5,4,1,4,1,0,5,4,1,4,1,4,5,4,0,2,4,1,3,2,3,5,2,5,3,3,0,4,1,3,5,4,4,1,5,2,5,0,0,3,4,4,1,1,1,3,3,1,5,2,3,0,0,4,1,5,0,5,5,5,2,4,5,1,0,1,1,4,3,0,3,1,5,1,4,4,4,1,1,1,1,5,1,4,4,4,1,5,1,2,1,5,2,0,3,1,5,1,3,4,4,2,0,5
RMDL,12,10,10,13,11,10,9,10,12,12,13,13,7,13,12,12,7,13,12,8,3,7,4,0,12,13,3,9,3,12,14,9,0,12,11,4,10,7,7,12,9,13,6,11,4,8,5,9,13,11,11,6,14,8,12,1,3,7,13,11,4,7,4,7,9,3,12,10,6,1,1,10,5,14,6,13,12,13,3,13,12,2,1,3,5,9,8,3,8,4,11,2,11,13,13,6,5,3,3,11,4,11,11,11,3,13,5,7,3,14,7,2,12,2,13,1,10,11,12,5,5,0
