recording_id,roi,label,atlas_region,base_region,side,n_rois_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2018-12-12_4,980,LAL_R_980,LAL_R,LAL,R,679,2000,247,0.07618493012384853,-0.21085227521641917,0.21173212824496146,-0.2691641228350519,0.11900183,0.2663567369833199,-0.04998499163011622,-1.4602998677952992,0.003997384822355994,-0.6243841251367914
2018-12-12_4,981,LAL_R_981,LAL_R,LAL,R,679,2000,247,0.05259177710015405,-0.8346119812302111,0.20654443206853768,-0.5614005329758889,0.09236557,-0.6441636836111269,-0.009415237969309532,-0.2750639804760936,0.0020639559550579807,-0.8857344153907848
2018-12-12_4,982,LAL_R_982,LAL_R,LAL,R,679,2000,247,0.17110116548369447,2.2985589511904205,0.2514550249435137,1.9685299010240482,0.081915736,-1.001375551912565,0.0493236757542905,1.4409796787836562,0.003113565532201251,-0.743853960268004
2018-12-12_4,894,LB_R_894,LB_R,LB,R,679,2000,247,0.037258045501800334,-1.2400077290676395,0.21476147164089138,-0.09851333508581729,0.12878405,0.6007471313932056,-0.003219338741076555,-0.09405223017282412,0.014216030951433246,0.7569163079996197
2018-12-12_4,824,LH_R_824,LH_R,LH,R,679,2000,247,0.11076908543717291,0.7034893784535966,0.2544306336657869,2.136153674932169,0.15232049,1.405305069424203,0.01477454929093344,0.4316350102834871,0.006162196373990778,-0.3317567950423443
2018-12-12_4,825,LH_R_825,LH_R,LH,R,679,2000,247,0.11013113680407637,0.6866231863243561,0.23821533847183696,1.2227039477893997,0.10649655,-0.16111738778286214,0.018966724484153423,0.5541084304199714,0.007113667172323916,-0.20314220077486575
2018-12-12_4,826,LH_R_826,LH_R,LH,R,679,2000,247,0.043714371139547535,-1.0693143173949389,0.21219771863223139,-0.2429362060981003,0.16557984,1.8585560548086923,-0.00616733886982839,-0.18017736609628532,0.010492260203658033,0.2535574401192352
2018-12-12_4,827,LH_R_827,LH_R,LH,R,679,2000,247,0.11329220616383068,0.7701960641228148,0.2321482418511704,0.8809286247743453,0.08858609,-0.7733594687749499,0.03533027952696282,1.032165872991961,0.007150452606642424,-0.198169747896526
2018-12-12_4,828,LH_R_828,LH_R,LH,R,679,2000,247,0.09353857575460137,0.24794629596374165,0.21557280114984767,-0.05280903493496235,0.07306468,-1.3039356875895707,0.03803349230685724,1.11113960363322,0.009067038505275524,0.060903802404026285
2018-12-12_4,829,LH_R_829,LH_R,LH,R,679,2000,247,0.037056160018728336,-1.2453452110668861,0.19959417723630818,-0.9529264536659733,0.117288314,0.20778282617963692,-0.04426000983616376,-1.2930458604583805,0.019382462253560058,1.455286102320083
