roi,label,atlas_region,base_region,side,n_recordings,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z,FCS,FCV,Metastability,NetTE,NeighborNetTE
318,ICL_R_318,ICL_R,ICL,R,20,0.7950500558756418,0.23476221430431649,-0.15597082563707482,-0.22722916794467135,-0.1672376480304948,0.06959833426506865,0.23928976232215046,0.018391337,-0.0005832543266787018,7.129157467661885e-05
319,ICL_L_319,ICL_L,ICL,L,20,0.163903502514107,-0.2207069556262069,0.031707238699296605,0.1757948604962689,0.2911663473478402,0.0571719523516079,0.23658332441676416,0.018712066,0.000288264092744936,0.00043778900683639295
320,ICL_L_320,ICL_L,ICL,L,20,0.06792874742086737,-0.04090572776735775,0.20106484760242166,0.03426026528554858,-0.09870920613066084,0.054929433757097926,0.2377763948485095,0.018768042,-0.0007041482394387257,2.4769276539446855e-05
321,ICL_L_321,ICL_L,ICL,L,20,-0.17789901937983527,-0.34689022237266715,0.1634574815329174,-0.019471350714431974,-0.08797636211635154,0.04983436773028491,0.23568017889963774,0.018988486,-0.000326828318239278,0.00010248334597986821
322,ICL_L_322,ICL_L,ICL,L,20,-0.32613681049134036,-0.5437339456629082,0.37530008399546433,-0.012164022146389805,0.14472690278319095,0.04760524167053376,0.23475231147864525,0.019079003,0.0001349606531378487,0.00028930945863177824
323,ICL_L_323,ICL_L,ICL,L,20,0.325573904245431,0.2617704895219041,0.07903247084765042,0.19321789015370086,0.08527444771744015,0.0627213881355976,0.24076938314723179,0.018688938,-0.00010639928825826773,0.0001207443930744374
324,ICL_L_324,ICL_L,ICL,L,20,-0.32823119299749787,-0.2764207382426226,0.2611898826157163,0.03125090716768118,0.24399735965476688,0.046492453494706924,0.23644998900932732,0.019073835,-0.00015929082517382044,0.00026559063188422096
325,ICL_L_325,ICL_L,ICL,L,20,0.2135948425337327,0.17733831364112385,0.14084580106976752,-0.1207076476502635,-0.11703154250185184,0.05922578059524682,0.23882930143323522,0.018625231,-0.0007383509049484823,-2.9821388718613214e-05
326,ICL_L_326,ICL_L,ICL,L,20,0.7732964743784903,0.2240969335129912,-0.42800102259367934,-0.2743566681953242,-0.0053796331765456114,0.06996490048997582,0.23928988796438025,0.018332256,-0.0001042167173469319,0.00010126065261650583
327,ME_R_327,ME_R,ME,R,16,-1.2640643926749053,-0.8012167683603597,0.3200001855511479,-0.1327896257828254,-0.3522895320060965,0.025790601663982473,0.23320932473011463,0.018266514,-0.00010079122164303089,3.5168917415076943e-05
329,ME_R_329,ME_R,ME,R,19,-0.8788249876479949,-0.34541811950595613,0.4503539710980044,-0.1657399906281991,-0.02121164046777987,0.03515493942963258,0.23531203927623456,0.018673776,-0.0005340042610704311,0.00021163521134682709
330,ME_R_330,ME_R,ME,R,19,-0.8225192907370288,-0.4718740690396967,0.04678680161099985,-0.062078496576275746,-0.24592073979666199,0.03782066802359204,0.23435801726727926,0.018195977,-2.0007112654311613e-05,5.0060260452076185e-05
331,ME_R_331,ME_R,ME,R,19,-0.8506066459007673,-0.4035884996017122,0.3777661866120782,0.06808454911330887,0.8757208334795806,0.03424442768107453,0.23500073062317173,0.018875618,-1.524557635076501e-05,0.0005088023021974558
332,ME_R_332,ME_R,ME,R,18,-1.1524032800832855,-0.7618073295671871,0.4888274645903256,-0.18607161273649636,-0.3493079939980154,0.029442445409199117,0.23351162981548215,0.019038318,-0.00013986151247833022,-0.00018699639046648384
333,ME_R_333,ME_R,ME,R,19,-0.6396277726152279,-0.49087585846190107,0.3860794966449965,0.16601610895278143,-0.022057217405687054,0.039566496442202816,0.2351203157628908,0.018771982,-1.0145029270167805e-06,0.00012910090308347638
362,ME_R_362,ME_R,ME,R,18,-0.9041510849764874,-0.6351624703541008,0.00429765787406493,-0.19960280678930584,-0.4035866753673071,0.034510220127343824,0.23246613215216852,0.018631103,-0.0005592513031720301,-0.0004434655274249743
363,ME_R_363,ME_R,ME,R,15,-1.4421177575238713,-1.2963968798095329,0.2728439515288336,0.19255240231093967,0.3431961308256839,0.020763482211124406,0.229474650247979,0.018068416,0.0007055578217989744,0.00043135988570380834
371,ME_R_371,ME_R,ME,R,18,-1.2372885803732037,-0.8198056704848585,0.4362954603638759,0.0015237109178044767,-0.10189423878436947,0.026315269093364187,0.23347913878986296,0.019244503,-0.0001311853846448502,-0.0002122096283443752
373,ME_R_373,ME_R,ME,R,16,-1.2814344573795755,-1.001500400140692,0.2678844921099788,-0.10816842497224657,-0.5856297395259025,0.026366037644312286,0.23187046991846322,0.019014727,6.526496897588548e-05,-0.0002691154308573116
382,ME_R_382,ME_R,ME,R,15,-1.482299970260371,-1.1302785903170327,0.16157241801634425,0.44201975473515803,0.5707143591628308,0.021589112955067918,0.23042083103127778,0.019550947,0.0032269553111338345,0.00041303926279767287
385,ME_R_385,ME_R,ME,R,16,-1.5216863509544403,-1.4058099551341292,0.28471259394873694,-0.07579584383489664,-1.0857770782321248,0.020562305010417465,0.22886677177045064,0.019799521,-6.551261245491417e-05,-0.0014686666188737769
390,ME_R_390,ME_R,ME,R,18,-1.3356943410129747,-1.2601147037098759,0.10461089002225098,-0.24097661464333228,-0.4084789560421005,0.02392391360614076,0.2286548862285354,0.018621746,-0.0004234499648582629,-0.0008075950675331463
398,ME_R_398,ME_R,ME,R,16,-1.464929797895891,-1.453058287050021,0.06168521145798841,0.008970034010618917,-0.03271615831073951,0.021823716647681825,0.22843231638413802,0.018981922,0.0004949383582210887,4.493185521442446e-05
438,ME_R_438,ME_R,ME,R,18,-0.9696458484769808,-0.6358447608456967,0.4548891973294751,0.023502898541249314,0.35567353657812983,0.03229574218505846,0.23377674124968306,0.019091167,0.0006551910416564781,0.00035051751766718105
440,ME_R_440,ME_R,ME,R,18,-1.174759165037398,-0.6770949175632216,0.2947310236574984,-0.030243440859856172,0.4763604233404421,0.027788654054082602,0.23336142688408545,0.01899029,6.333566889072692e-05,0.0007733286626295138
442,ME_R_442,ME_R,ME,R,18,-0.14313024613325448,0.32642826791101587,-0.011321133849240403,0.18916241455841065,0.08955671226288416,0.051680957394248134,0.23823845787817088,0.018148564,0.0002946536873189406,0.00014429117858658498
443,ME_R_443,ME_R,ME,R,18,-0.9519971768549537,-0.6426547301499076,0.5829701382542427,-0.14212756838225848,-0.4724675787255656,0.03178768206525728,0.23377871059882682,0.01910881,-0.00021850895697397182,-0.00014577829295494115
445,ME_R_445,ME_R,ME,R,18,-0.6866236261688239,-0.4060480114483549,0.0684893167649241,-0.05888225787512569,-0.39545547358579797,0.04097778973430835,0.23476434319872702,0.01836278,-0.00039502902008556177,-4.469245693177705e-05
446,ME_R_446,ME_R,ME,R,18,-1.2245527667751839,-0.9887548546309289,0.43264077301003867,0.007640449877580457,-0.05605987625075485,0.02790780907361103,0.23207609835192824,0.018894326,0.0002767409009489327,0.0003667761036345911
447,ME_R_447,ME_R,ME,R,18,-0.6170509380959012,-0.41691368185614713,0.1515220950561653,-0.05205464618320068,0.26686332051335354,0.04203946030837106,0.2361463311509622,0.01864617,7.609935841411558e-05,0.0009141479443058279
448,ME_R_448,ME_R,ME,R,18,-0.625536269101244,-0.3214531923274617,0.03511148103543618,0.020910344809283554,-0.38157271739392284,0.04281732880196169,0.23584500308619966,0.018331544,0.0001574275870709905,-4.586550063235873e-05
449,ME_R_449,ME_R,ME,R,18,-0.5892462133378861,-0.17086701409991942,0.0016288124355777825,0.15845306638529286,0.24261859904822156,0.041506079400802066,0.23690983321625636,0.018642051,0.00020343261454237706,0.00021892111282070863
450,ME_R_450,ME_R,ME,R,18,-1.044649078803592,-0.754727493586447,0.13448293839793385,-0.03548039009670753,0.16764050934580357,0.03158340616443089,0.2324045364937155,0.018686507,-0.0005060798455556287,0.0004200862737551691
451,ME_R_451,ME_R,ME,R,1,-1.3241048119217835,-1.0590521218826232,1.7959694603531995,0.26461027686702665,,0.01808207576678979,0.22821238928184848,0.011922527,0.00011628756315953899,
480,ME_L_480,ME_L,ME,L,13,-1.562465810461578,-1.6878074554869198,0.11094225987183531,0.01863178743188191,0.35729278990719404,0.019572192599684676,0.22778975252548123,0.017614517,9.958002473813153e-06,-0.0005305688293221753
