recording_id,atlas_region,base_region,side,n_rois_total,n_present_rois,n_valid_regions,n_time,n_windows,FCS,FCV,FCS_z,FCV_z
2018-10-31_1,AMMC_L,AMMC,L,4,4,67,2000,247,0.09932779011153658,0.21607562510440215,-1.5405568475173848,-0.7647681581603749
2018-10-31_1,ATL_L,ATL,L,1,1,67,2000,247,0.18589998351280118,0.2302877659585485,-0.6115299990802562,-0.10635314667096402
2018-10-31_1,AVLP_L,AVLP,L,34,34,67,2000,247,0.13957568264317077,0.308784202587592,-1.1086471166227283,3.530201877332408
2018-10-31_1,CRE_L,CRE,L,10,10,67,2000,247,0.3227031769032677,0.24206831532425854,0.856537686609496,0.4394119583598252
2018-10-31_1,EPA_L,EPA,L,1,1,67,2000,247,0.1902561980211191,0.20225170765266512,-0.564782422557382,-1.4051976938104285
2018-10-31_1,GA_L,GA,L,1,1,67,2000,247,0.15699759808879818,0.21532916614711736,-0.9216883881408305,-0.7993498434941259
2018-10-31_1,GOR_L,GOR,L,1,1,67,2000,247,0.21642479327257855,0.21462043964658278,-0.2839609876445978,-0.832183472979031
2018-10-31_1,IB_L,IB,L,3,3,67,2000,247,0.32147007746097295,0.22153682315763154,0.8433050024914573,-0.5117637152784332
2018-10-31_1,ICL_L,ICL,L,8,8,67,2000,247,0.3304287299492055,0.21327379444384098,0.9394424383169493,-0.8945703734280739
2018-10-31_1,IPS_L,IPS,L,8,8,67,2000,247,0.29219537469026285,0.23308604958314832,0.529151187213292,0.0232847427750868
2018-10-31_1,IVLP_L,IVLP,L,7,7,67,2000,247,0.2293360909726556,0.228786430902005,-0.14540677363803775,-0.1759064637009695
2018-10-31_1,LAL_L,LAL,L,5,5,67,2000,247,0.3337437389621421,0.25180754875319145,0.9750165904185888,0.890607704012606
2018-10-31_1,LB_L,LB,L,1,1,67,2000,247,0.127825251839019,0.2549302571020218,-1.2347437911884465,1.0352754268049364
2018-10-31_1,LH_L,LH,L,11,11,67,2000,247,0.29480848803996973,0.2525584036383923,0.5571931296027488,0.9253930423328484
2018-10-31_1,LO_L,LO,L,39,21,67,2000,247,0.07486182352558175,0.23618333303724778,-1.8031069682699645,0.1667745900785561
2018-10-31_1,LOP_L,LOP,L,22,0,67,2000,247,,,,
2018-10-31_1,MB_L,MB,L,16,16,67,2000,247,0.3650932979349394,0.23900394795670246,1.3114361823006901,0.2974470358176611
2018-10-31_1,ME_L,ME,L,131,18,67,2000,247,0.07831131982400079,0.1864536565380166,-1.7660896010425686,-2.1370841923267268
2018-10-31_1,OTU_L,OTU,L,4,4,67,2000,247,0.27914684077574986,0.23254148206407424,0.3891242586689597,-0.0019437877473444764
2018-10-31_1,PLP_L,PLP,L,13,13,67,2000,247,0.3611511556706099,0.23536681974470144,1.2691321137535794,0.12894745239322208
2018-10-31_1,PVLP_L,PVLP,L,11,11,67,2000,247,0.31236353325961713,0.23440002825284473,0.7455805054312336,0.08415827968860501
2018-10-31_1,SCL_L,SCL,L,8,8,67,2000,247,0.3543941064894547,0.23567929027595355,1.196620607935458,0.14342347613488346
2018-10-31_1,SIP_L,SIP,L,7,7,67,2000,247,0.2730494801772456,0.23725264416808575,0.3236920283180723,0.2163132561895827
2018-10-31_1,SLP_L,SLP,L,23,23,67,2000,247,0.3628019447138193,0.22433630746995079,1.286847124567028,-0.3820702007983578
2018-10-31_1,SMP_L,SMP,L,22,22,67,2000,247,0.35224707401455607,0.2225430828622916,1.173580290539294,-0.46514607323530693
2018-10-31_1,SPS_L,SPS,L,15,15,67,2000,247,0.3181210098535015,0.22674397543418448,0.807365359491415,-0.2705286148682462
2018-10-31_1,VES_L,VES,L,6,6,67,2000,247,0.29316875360430833,0.2646434212337518,0.5395967484186018,1.485263443320108
2018-10-31_1,WED_L,WED,L,1,1,67,2000,247,0.1287095393919793,0.21277337165087787,-1.2252542906206245,-0.9177537827651862
2018-10-31_1,AL_R,AL,R,23,23,67,2000,247,0.2918580438959397,0.2633294494475609,0.5255312100310316,1.4243902253031886
2018-10-31_1,AME_R,AME,R,1,1,67,2000,247,0.062051774970151866,0.21734798244726533,-1.9405746535649033,-0.7058228392870757
2018-10-31_1,AMMC_R,AMMC,R,4,4,67,2000,247,0.10315117475002553,0.21487551802848312,-1.499527195368056,-0.82036629233938
2018-10-31_1,ATL_R,ATL,R,1,1,67,2000,247,0.2024253118325105,0.23071510847815818,-0.43419276081612646,-0.08655537427014823
2018-10-31_1,AVLP_R,AVLP,R,28,28,67,2000,247,0.1859480980204435,0.2878356950726041,-0.6110136708270046,2.559706864813393
2018-10-31_1,CRE_R,CRE,R,8,8,67,2000,247,0.34152664729098314,0.2375471807148857,1.0585368353418583,0.2299584406720291
2018-10-31_1,EPA_R,EPA,R,1,1,67,2000,247,0.21016603772153167,0.21082945331189776,-0.3511251857119478,-1.007810940840752
2018-10-31_1,GA_R,GA,R,1,1,67,2000,247,0.14914476449931366,0.2205166323704859,-1.0059590177080544,-0.5590267515608179
2018-10-31_1,GOR_R,GOR,R,1,1,67,2000,247,0.25205500776101086,0.21510412707561052,0.09839533919468116,-0.809775373635738
2018-10-31_1,IB_R,IB,R,4,4,67,2000,247,0.3120609329621394,0.22323261250741167,0.7423332294912689,-0.43320178884682486
2018-10-31_1,ICL_R,ICL,R,8,8,67,2000,247,0.3056431705084908,0.21850058950175466,0.6734626904407456,-0.652425269222678
2018-10-31_1,IPS_R,IPS,R,11,11,67,2000,247,0.2955621922921864,0.24460231319015308,0.5652813096358571,0.556806111085263
2018-10-31_1,IVLP_R,IVLP,R,5,5,67,2000,247,0.26900376939720855,0.22678645143859272,0.2802765413354928,-0.2685608016290244
2018-10-31_1,LAL_R,LAL,R,9,9,67,2000,247,0.34512250343678585,0.23410516687800276,1.0971248249874987,0.07049804668804906
2018-10-31_1,LB_R,LB,R,1,1,67,2000,247,0.10366291680854166,0.26026665218548695,-1.494035569325588,1.2824980420498935
2018-10-31_1,LH_R,LH,R,14,14,67,2000,247,0.21051607409270184,0.2634665156771865,-0.3473688619552039,1.430740180885524
2018-10-31_1,LO_R,LO,R,40,28,67,2000,247,0.10602627577837294,0.21569400137512168,-1.4686738007344744,-0.7824478866880811
2018-10-31_1,LOP_R,LOP,R,24,1,67,2000,247,0.03132083013455507,0.19172489834173523,-2.270355749647109,-1.892879975074946
2018-10-31_1,MB_R,MB,R,16,16,67,2000,247,0.3568149111598754,0.24122215321919752,1.222598840036136,0.40021126102342636
2018-10-31_1,ME_R,ME,R,129,24,67,2000,247,0.19232908827418335,0.2682413527655978,-0.5425377430211441,1.6519471368740861
2018-10-31_1,OTU_R,OTU,R,3,3,67,2000,247,0.22268733791661038,0.263591419639367,-0.21675612791700852,1.436526687263285
2018-10-31_1,PLP_R,PLP,R,15,15,67,2000,247,0.3330132028840731,0.23502381792569943,0.9671770335861504,0.1130569860013686
2018-10-31_1,PVLP_R,PVLP,R,17,17,67,2000,247,0.3207760537528998,0.238131597761867,0.835857268606937,0.25703310596360823
2018-10-31_1,SCL_R,SCL,R,6,6,67,2000,247,0.3293735227593242,0.22727289818256002,0.9281187583736693,-0.24602486972367896
2018-10-31_1,SIP_R,SIP,R,6,6,67,2000,247,0.31444941089642875,0.23334766183665576,0.7679645556789922,0.03540462229686997
2018-10-31_1,SLP_R,SLP,R,22,22,67,2000,247,0.35401891987103407,0.223250641846925,1.1925943908790009,-0.43236653201221803
2018-10-31_1,SMP_R,SMP,R,21,21,67,2000,247,0.379954867801222,0.22859440063880307,1.4709192319180866,-0.18480277350045576
2018-10-31_1,SPS_R,SPS,R,12,12,67,2000,247,0.3188148436170865,0.22909818209180866,0.8148110550363453,-0.16146376535432883
2018-10-31_1,VES_R,VES,R,6,6,67,2000,247,0.33105012989668836,0.24035179554465108,0.9461108293111936,0.3598896399413217
2018-10-31_1,WED_R,WED,R,1,1,67,2000,247,0.1234148806978379,0.2047212762268691,-1.2820725354509164,-1.2907883984167643
2018-10-31_1,EB,EB,midline,3,3,67,2000,247,0.19706897638206747,0.19233993047152195,-0.4916728736236237,-1.8643869851056172
2018-10-31_1,FB,FB,midline,13,13,67,2000,247,0.2946023699618947,0.22815922611717657,0.5549812273630492,-0.20496338410776052
2018-10-31_1,FLA,FLA,midline,6,6,67,2000,247,0.2565064833446626,0.23518018065269214,0.14616518502966466,0.12030090285710286
2018-10-31_1,NO,NO,midline,1,1,67,2000,247,0.13319825551441017,0.2249176227507211,-1.1770848076848952,-0.3551392330296492
2018-10-31_1,PB,PB,midline,1,1,67,2000,247,0.22673826077698733,0.22786289466557597,-0.17328470885760716,-0.2186917223020278
2018-10-31_1,PRW,PRW,midline,7,7,67,2000,247,0.15572191555741702,0.23490112696930324,-0.9353780415407642,0.107373002969236
2018-10-31_1,SAD,SAD,midline,20,20,67,2000,247,0.22283781349929851,0.22526869413690043,-0.21514133856191459,-0.3388749225969657
2018-10-31_1,SOG,SOG,midline,74,71,67,2000,247,0.26168865034731664,0.26881468529291497,0.2017762546976795,1.6785082824773299
2018-11-03_2,AL_L,AL,L,22,22,67,2000,247,0.1796510106991282,0.22164330339443578,0.9768807830406578,0.3911427724000665
2018-11-03_2,AME_L,AME,L,1,1,67,2000,247,0.03093449882765388,0.19192505900395126,-1.6329594509528675,-1.422457249484269
2018-11-03_2,AMMC_L,AMMC,L,4,4,67,2000,247,0.08402023035546083,0.19145882298730185,-0.7013528912724971,-1.4509099951743671
2018-11-03_2,ATL_L,ATL,L,1,1,67,2000,247,0.1290500060350267,0.21008325534907174,0.08887893179365465,-0.3143263364941678
2018-11-03_2,AVLP_L,AVLP,L,34,34,67,2000,247,0.1408045280854045,0.2572805705049911,0.2951601590251842,2.565959950776037
2018-11-03_2,CRE_L,CRE,L,10,10,67,2000,247,0.20507417819384002,0.21945052829193745,1.4230343712891336,0.2573254135539389
2018-11-03_2,EPA_L,EPA,L,1,1,67,2000,247,0.07231392860323818,0.19806381836889544,-0.906787895898098,-1.0478303377353977
2018-11-03_2,GA_L,GA,L,1,1,67,2000,247,0.08549800882577865,0.20465115613618007,-0.6754192161194783,-0.6458282624468537
2018-11-03_2,GOR_L,GOR,L,1,1,67,2000,247,0.0806308343657988,0.195177735579673,-0.7608337243786492,-1.2239578283407908
2018-11-03_2,IB_L,IB,L,3,3,67,2000,247,0.12112191170888681,0.2062861072066324,-0.05025195078875531,-0.5460529440198479
2018-11-03_2,ICL_L,ICL,L,8,8,67,2000,247,0.16737627585009227,0.21375472085006514,0.761470291848515,-0.09026969891293778
2018-11-03_2,IPS_L,IPS,L,8,8,67,2000,247,0.1112859128441439,0.21494296213678454,-0.2228648318715626,-0.0177555087985247
2018-11-03_2,IVLP_L,IVLP,L,7,7,67,2000,247,0.10675569939961214,0.21208478835664746,-0.30236597917076297,-0.19217981065484785
2018-11-03_2,LAL_L,LAL,L,5,5,67,2000,247,0.18913853891987537,0.22019943608836573,1.1433783195956717,0.3030286246233842
2018-11-03_2,LB_L,LB,L,1,1,67,2000,247,0.05439222028291051,0.18957440583336427,-1.2212976624848122,-1.5659093520244878
2018-11-03_2,LH_L,LH,L,11,11,67,2000,247,0.1486840644778326,0.2230149754194186,0.43343889380311823,0.4748510958743658
2018-11-03_2,LO_L,LO,L,39,22,67,2000,247,0.029616100389664675,0.18246747801876073,-1.6560961507355525,-1.9996201820028001
2018-11-03_2,LOP_L,LOP,L,22,0,67,2000,247,,,,
2018-11-03_2,MB_L,MB,L,16,16,67,2000,247,0.22595694176339487,0.22706521068528934,1.7895079785231423,0.7220227211663319
2018-11-03_2,ME_L,ME,L,131,17,67,2000,247,0.03854578636701241,0.19697391311131154,-1.499388240851606,-1.1143434255555826
2018-11-03_2,OTU_L,OTU,L,4,4,67,2000,247,0.14777141112655415,0.20761765347583117,0.41742265319955935,-0.4647933544146117
2018-11-03_2,PLP_L,PLP,L,13,13,67,2000,247,0.1517169423156023,0.21588455283082889,0.4866631558987709,0.03970646240296673
2018-11-03_2,PVLP_L,PVLP,L,11,11,67,2000,247,0.11985779279154747,0.20977094489263415,-0.07243609409273336,-0.33338554615634025
2018-11-03_2,SCL_L,SCL,L,8,8,67,2000,247,0.20192556939373188,0.22527098824330868,1.36777913551054,0.6125276306325389
2018-11-03_2,SIP_L,SIP,L,7,7,67,2000,247,0.1917440520068303,0.21954860327254558,1.189102716967286,0.26331058497389515
2018-11-03_2,SLP_L,SLP,L,23,23,67,2000,247,0.1838440577812589,0.21458622529965543,1.0504649657266485,-0.0395259043549817
2018-11-03_2,SMP_L,SMP,L,22,22,67,2000,247,0.22879477920381217,0.22315598780219265,1.839309458105551,0.4834565860616287
2018-11-03_2,SPS_L,SPS,L,15,15,67,2000,247,0.12632371419985503,0.21527959814798397,0.041034976663855374,0.002788203988016213
2018-11-03_2,VES_L,VES,L,6,6,67,2000,247,0.1480359502762485,0.2246936493313721,0.4220650759383028,0.5772946656711853
2018-11-03_2,WED_L,WED,L,1,1,67,2000,247,0.02624026673062294,0.19045960477133184,-1.715338977209663,-1.5118887715293625
2018-11-03_2,AL_R,AL,R,23,23,67,2000,247,0.18833954727832694,0.22721502835037755,1.1293567391639054,0.7311655667904705
2018-11-03_2,AME_R,AME,R,1,1,67,2000,247,0.029374827423102344,0.1880396701420797,-1.6603302730101093,-1.6595688780290445
2018-11-03_2,AMMC_R,AMMC,R,4,4,67,2000,247,0.08939000936198704,0.20060748592519706,-0.6071181279464349,-0.8925992455093648
2018-11-03_2,ATL_R,ATL,R,1,1,67,2000,247,0.1252176356352444,0.20546038693325128,0.021624298565290436,-0.5964437506300069
2018-11-03_2,AVLP_R,AVLP,R,28,28,67,2000,247,0.1024553508281344,0.26253724624710567,-0.37783320591515224,2.886756398765084
2018-11-03_2,CRE_R,CRE,R,8,8,67,2000,247,0.20680033175004403,0.22280735394814,1.4533268044852912,0.46218068708753063
2018-11-03_2,EPA_R,EPA,R,1,1,67,2000,247,0.07346392460478751,0.20130226809055113,-0.8866065065149947,-0.8501991315007983
2018-11-03_2,GA_R,GA,R,1,1,67,2000,247,0.08217128594009115,0.20310453372684448,-0.733800192953562,-0.740213193082795
2018-11-03_2,GOR_R,GOR,R,1,1,67,2000,247,0.07769241280734436,0.2005588411872846,-0.812400364230423,-0.8955678629210602
2018-11-03_2,IB_R,IB,R,4,4,67,2000,247,0.1409214868663916,0.20516333154475178,0.29721267981455557,-0.6145719971039492
2018-11-03_2,ICL_R,ICL,R,8,8,67,2000,247,0.17206047721444429,0.2091665635294951,0.8436737878219718,-0.370268816884353
2018-11-03_2,IPS_R,IPS,R,11,11,67,2000,247,0.11982144097473392,0.23029191550073239,-0.0730740355889726,0.9189371770477005
2018-11-03_2,IVLP_R,IVLP,R,5,5,67,2000,247,0.10096060383409163,0.22167111757207753,-0.4040646633074902,0.39284017391938114
2018-11-03_2,LAL_R,LAL,R,9,9,67,2000,247,0.17110779113984104,0.23174256104753105,0.8269550091431542,1.007464977036547
2018-11-03_2,LB_R,LB,R,1,1,67,2000,247,0.09853314418755436,0.22665714610147117,-0.44666438389133367,0.6971199736009399
2018-11-03_2,LH_R,LH,R,14,14,67,2000,247,0.1108805906920065,0.22966963146956298,-0.22997786893157138,0.8809613694017934
2018-11-03_2,LO_R,LO,R,40,30,67,2000,247,0.032763055756960445,0.190057670614189,-1.6008699312068944,-1.5364174006977709
2018-11-03_2,LOP_R,LOP,R,24,1,67,2000,247,0.0147122785361356,0.18066332449960107,-1.9176447402239065,-2.109721331277901
2018-11-03_2,MB_R,MB,R,16,16,67,2000,247,0.2176148610169477,0.23016465653052864,1.6431120088132276,0.9111710092985591
2018-11-03_2,ME_R,ME,R,129,23,67,2000,247,0.03831274441373582,0.21806165356475413,-1.5034779162899008,0.17256726961658048
2018-11-03_2,OTU_R,OTU,R,3,3,67,2000,247,0.09545089024132225,0.2171113251660373,-0.5007551520181032,0.11457206700420762
2018-11-03_2,PLP_R,PLP,R,15,15,67,2000,247,0.11127101544313395,0.22596122966725193,-0.2231262677810553,0.6546506391494812
2018-11-03_2,PVLP_R,PVLP,R,17,17,67,2000,247,0.09431129439422976,0.23153347771837793,-0.5207540280998948,0.9947053562007628
2018-11-03_2,SCL_R,SCL,R,6,6,67,2000,247,0.169699111818871,0.22085002992941785,0.802233961544623,0.34273208048256476
2018-11-03_2,SIP_R,SIP,R,6,6,67,2000,247,0.208350197556535,0.22545846285590243,1.4805255471680585,0.6239685474321747
2018-11-03_2,SLP_R,SLP,R,22,22,67,2000,247,0.11950722993089884,0.23780078523281484,-0.07858815512987878,1.377177109780461
2018-11-03_2,SMP_R,SMP,R,21,21,67,2000,247,0.23401108385223734,0.22417861243841997,1.930850885300891,0.5458637739921232
2018-11-03_2,SPS_R,SPS,R,12,12,67,2000,247,0.1077049873650282,0.2312524646966511,-0.28570683423378507,0.9775561189962676
2018-11-03_2,VES_R,VES,R,6,6,67,2000,247,0.1313853955571831,0.23352337779168697,0.12986290499387446,1.1161419649412323
2018-11-03_2,WED_R,WED,R,1,1,67,2000,247,0.036930494380293416,0.18909048500058992,-1.5277351538038801,-1.5954413398962495
2018-11-03_2,EB,EB,midline,3,3,67,2000,247,0.1606164949556014,0.21281984382500746,0.6428422529749988,-0.14732195848876417
2018-11-03_2,FB,FB,midline,13,13,67,2000,247,0.21356848618121524,0.22103998242173922,1.572101791351698,0.3543242135744283
2018-11-03_2,FLA,FLA,midline,6,6,67,2000,247,0.1419683134129346,0.2113849614605249,0.3155835386035345,-0.23488778685446124
2018-11-03_2,NO,NO,midline,1,1,67,2000,247,0.09250335614517947,0.21028299413935966,-0.552481708661856,-0.30213698002756184
2018-11-03_2,PB,PB,midline,1,1,67,2000,247,0.08304667290769005,0.23897843295827573,-0.7184379436672984,1.4490448120782375
2018-11-03_2,PRW,PRW,midline,7,7,67,2000,247,0.1401694690240748,0.22849034900261217,0.28401544706036336,0.808993904575553
2018-11-03_2,SAD,SAD,midline,20,20,67,2000,247,0.1516178477660999,0.21517809177286226,0.4849241362095229,-0.003406373380796398
2018-11-03_2,SOG,SOG,midline,74,71,67,2000,247,0.09521167627444523,0.23842860348502357,-0.504953140711036,1.4154906514885206
2018-11-03_3,AL_L,AL,L,22,22,66,2000,247,0.307573239198138,0.2316964776655978,0.5041161815512161,0.3129879033030577
2018-11-03_3,AME_L,AME,L,1,1,66,2000,247,0.026363294446249252,0.18288497020046468,-2.1746248792956413,-1.7383183268591693
2018-11-03_3,AMMC_L,AMMC,L,4,4,66,2000,247,0.27538495438193067,0.20701001538593694,0.19749800596897113,-0.7244620035883815
2018-11-03_3,ATL_L,ATL,L,1,1,66,2000,247,0.24514356093739753,0.21571141365998678,-0.09057453153879705,-0.3587852724726444
2018-11-03_3,AVLP_L,AVLP,L,34,34,66,2000,247,0.29808641663234503,0.23491724205438436,0.4137468983227022,0.4483407002090293
