roi,atlas_region,ito_neuropil_block,ito_block_order,base_region,side,side_order,label,plot_order
868,SLP_R,SLP,629,SLP,R,0,SLP_R_868,395
869,SLP_R,SLP,627,SLP,R,0,SLP_R_869,396
870,SLP_R,SLP,617,SLP,R,0,SLP_R_870,397
781,SMP_R,SMP,683,SMP,R,0,SMP_R_781,398
782,SMP_R,SMP,670,SMP,R,0,SMP_R_782,399
783,SMP_R,SMP,687,SMP,R,0,SMP_R_783,400
784,SMP_R,SMP,681,SMP,R,0,SMP_R_784,401
785,SMP_R,SMP,684,SMP,R,0,SMP_R_785,402
786,SMP_R,SMP,669,SMP,R,0,SMP_R_786,403
787,SMP_R,SMP,685,SMP,R,0,SMP_R_787,404
788,SMP_R,SMP,678,SMP,R,0,SMP_R_788,405
789,SMP_R,SMP,677,SMP,R,0,SMP_R_789,406
790,SMP_R,SMP,676,SMP,R,0,SMP_R_790,407
791,SMP_R,SMP,686,SMP,R,0,SMP_R_791,408
792,SMP_R,SMP,688,SMP,R,0,SMP_R_792,409
793,SMP_R,SMP,680,SMP,R,0,SMP_R_793,410
794,SMP_R,SMP,675,SMP,R,0,SMP_R_794,411
795,SMP_R,SMP,673,SMP,R,0,SMP_R_795,412
796,SMP_R,SMP,689,SMP,R,0,SMP_R_796,413
797,SMP_R,SMP,671,SMP,R,0,SMP_R_797,414
798,SMP_R,SMP,682,SMP,R,0,SMP_R_798,415
799,SMP_R,SMP,672,SMP,R,0,SMP_R_799,416
800,SMP_R,SMP,674,SMP,R,0,SMP_R_800,417
801,SMP_R,SMP,679,SMP,R,0,SMP_R_801,418
947,SPS_R,SPS,862,SPS,R,0,SPS_R_947,419
948,SPS_R,SPS,856,SPS,R,0,SPS_R_948,420
949,SPS_R,SPS,864,SPS,R,0,SPS_R_949,421
950,SPS_R,SPS,857,SPS,R,0,SPS_R_950,422
951,SPS_R,SPS,848,SPS,R,0,SPS_R_951,423
952,SPS_R,SPS,859,SPS,R,0,SPS_R_952,424
953,SPS_R,SPS,854,SPS,R,0,SPS_R_953,425
954,SPS_R,SPS,863,SPS,R,0,SPS_R_954,426
955,SPS_R,SPS,858,SPS,R,0,SPS_R_955,427
956,SPS_R,SPS,849,SPS,R,0,SPS_R_956,428
957,SPS_R,SPS,860,SPS,R,0,SPS_R_957,429
958,SPS_R,SPS,855,SPS,R,0,SPS_R_958,430
146,VES_R,VES,206,VES,R,0,VES_R_146,431
147,VES_R,VES,201,VES,R,0,VES_R_147,432
148,VES_R,VES,200,VES,R,0,VES_R_148,433
149,VES_R,VES,203,VES,R,0,VES_R_149,434
150,VES_R,VES,207,VES,R,0,VES_R_150,435
151,VES_R,VES,202,VES,R,0,VES_R_151,436
779,WED_R,WED,802,WED,R,0,WED_R_779,437
273,AL_L,AL,298,AL,L,1,AL_L_273,438
274,AL_L,AL,297,AL,L,1,AL_L_274,439
275,AL_L,AL,329,AL,L,1,AL_L_275,440
276,AL_L,AL,334,AL,L,1,AL_L_276,441
277,AL_L,AL,326,AL,L,1,AL_L_277,442
278,AL_L,AL,294,AL,L,1,AL_L_278,443
279,AL_L,AL,296,AL,L,1,AL_L_279,444
280,AL_L,AL,295,AL,L,1,AL_L_280,445
281,AL_L,AL,333,AL,L,1,AL_L_281,446
282,AL_L,AL,332,AL,L,1,AL_L_282,447
283,AL_L,AL,300,AL,L,1,AL_L_283,448
284,AL_L,AL,299,AL,L,1,AL_L_284,449
285,AL_L,AL,327,AL,L,1,AL_L_285,450
286,AL_L,AL,324,AL,L,1,AL_L_286,451
287,AL_L,AL,335,AL,L,1,AL_L_287,452
288,AL_L,AL,331,AL,L,1,AL_L_288,453
289,AL_L,AL,325,AL,L,1,AL_L_289,454
290,AL_L,AL,336,AL,L,1,AL_L_290,455
291,AL_L,AL,330,AL,L,1,AL_L_291,456
