recording_id,side_key,side,big_group,n_mapped_rois,weighted_mean_PostDCA_positive,n_present_rois,n_valid_sidekeys,n_time,n_windows,FCS,FCV,FCS_z,FCV_z
2018-12-12_2,ICL_L,L,optic/lateral protocerebrum,8,0.0141316259929802,8,41,2000,247,0.18421326380664588,0.2304746030776422,0.4017964536435514,-0.5046943207740755
2018-12-12_2,ME_L,L,optic/lateral protocerebrum,131,0.0137407167826744,16,41,2000,247,0.043998239739374015,0.19997972825520047,-2.0736089138190215,-1.7544739497061974
2018-12-12_2,PLP_L,L,optic/lateral protocerebrum,13,0.0247627492367811,13,41,2000,247,0.19298487953354876,0.2726545890900718,0.5566536438493382,1.223979352225622
2018-12-12_2,PVLP_L,L,optic/lateral protocerebrum,11,0.0210877228173999,11,41,2000,247,0.1474970149107229,0.2639153896403626,-0.24640512243330176,0.8658183986550368
2018-12-12_2,SIP_L,L,superior protocerebrum,7,0.026564468898378,7,41,2000,247,0.2107835309944372,0.23017780280223069,0.8708772989316952,-0.5168581660179252
2018-12-12_2,SMP_L,L,superior protocerebrum,22,0.0283202025188532,22,41,2000,247,0.17393991373517578,0.2779408416736632,0.22042711695579367,1.440627258827303
2018-12-12_2,SPS_L,L,superior protocerebrum,15,0.0174081044878027,15,41,2000,247,0.20239337078407743,0.2638790430848921,0.7227544586244327,0.8643287980295743
2018-12-12_2,ATL_R,R,inferior/ventrolateral protocerebrum,1,0.0076843012696145,1,41,2000,247,0.11111933648541468,0.24740168204390986,-0.8886294563009176,0.18903269376668555
2018-12-12_2,CRE_R,R,inferior/ventrolateral protocerebrum,8,0.011210897585465,8,41,2000,247,0.19973774089586538,0.2513371772282764,0.6758710342339037,0.35032214780839155
2018-12-12_2,EPA_R,R,inferior/ventrolateral protocerebrum,1,0.0143470987549166,1,41,2000,247,0.11979023727599916,0.21661740900095955,-0.7355503230159539,-1.0726074200090947
2018-12-12_2,IB_R,R,inferior/ventrolateral protocerebrum,4,0.0364638376026452,4,41,2000,247,0.14235904917328882,0.2229325521893976,-0.3371125772790896,-0.813792213957124
2018-12-12_2,LAL_R,R,inferior/ventrolateral protocerebrum,9,0.023416134530816,9,41,2000,247,0.23588406493198,0.26895096679393554,1.3140109563160813,1.0721928069152755
2018-12-12_2,VES_R,R,inferior/ventrolateral protocerebrum,6,0.0197899974539006,6,41,2000,247,0.22523808531296957,0.2717193290293519,1.1260630864918608,1.1856493384627413
2018-12-12_2,MB_R,R,mushroom body,16,0.0541119400368117,16,41,2000,247,0.2364480734075988,0.2646047457469406,1.323968160382682,0.8940704647513081
2018-12-12_2,AL_R,R,olfactory system,23,0.0669363001194896,23,41,2000,247,0.21391390397379118,0.27385029319428633,0.9261420048845671,1.2729832140344965
2018-12-12_2,LH_R,R,olfactory system,14,0.015880788129262,14,41,2000,247,0.15371744661588532,0.24612548229986583,-0.1365874325436235,0.13672985757400027
2018-12-12_2,AOTU_R,R,optic/lateral protocerebrum,3,0.0151695582829394,3,41,2000,247,0.1383630373611155,0.22267966453238935,-0.4076595757487533,-0.8241563765902716
2018-12-12_2,AVLP_R,R,optic/lateral protocerebrum,28,0.0220640996038256,28,41,2000,247,0.15103985210773396,0.26043619281914326,-0.18385862806248715,0.7232295427399643
2018-12-12_2,ICL_R,R,optic/lateral protocerebrum,8,0.0142208345232401,8,41,2000,247,0.1690891828073331,0.22597755235256017,0.13479060649784466,-0.6889981560646485
2018-12-12_2,LO_R,R,optic/lateral protocerebrum,40,0.0119475088678664,27,41,2000,247,0.05018174074490228,0.19544776548146434,-1.9644432114942043,-1.9402085948448593
2018-12-12_2,ME_R,R,optic/lateral protocerebrum,129,0.0062167920089693,23,41,2000,247,0.02943548930781087,0.18801164801679499,-2.330704833625832,-2.244964990134302
2018-12-12_2,PLP_R,R,optic/lateral protocerebrum,15,0.0182239601527843,15,41,2000,247,0.19107288583309534,0.2377090176412171,0.522898634354876,-0.20820436954620447
2018-12-12_2,PVLP_R,R,optic/lateral protocerebrum,17,0.0190223107650327,17,41,2000,247,0.15513095688436232,0.23448586310639938,-0.11163282494128354,-0.3402997758061092
2018-12-12_2,WED_R,R,optic/lateral protocerebrum,1,0.012935449669569,1,41,2000,247,0.08823059084735649,0.2254034737150486,-1.2927154248612567,-0.7125257747462991
2018-12-12_2,SIP_R,R,superior protocerebrum,6,0.0113351905713117,6,41,2000,247,0.17806773192402592,0.248242298388082,0.29330107157343077,0.22348389872525135
2018-12-12_2,SLP_R,R,superior protocerebrum,22,0.0215671447223606,22,41,2000,247,0.2295991762523332,0.24592574048681054,1.2030553203206245,0.12854378530920238
2018-12-12_2,SMP_R,R,superior protocerebrum,21,0.0249790898738309,21,41,2000,247,0.1752224235380906,0.25865371773572704,0.24306899624852563,0.6501778886077993
2018-12-12_2,SPS_R,R,superior protocerebrum,12,0.0185531881136671,12,41,2000,247,0.1981264208072772,0.26420882267562873,0.6474242224708661,0.8778442433934271
2018-12-12_2,NO,midline,central complex,1,0.0034522715914941,1,41,2000,247,0.11226949346839636,0.2080718486725665,-0.8683241802576639,-1.4228324095662404
2018-12-12_2,PB,midline,central complex,1,0.0033217601035986,1,41,2000,247,0.11398304339532173,0.2448273951403718,-0.8380725669605676,0.08353000356705392
2018-12-12_3,ATL_L,L,inferior/ventrolateral protocerebrum,1,0.0081194081525082,1,41,2000,247,0.15908692511358652,0.20606925990312547,-0.17655800488002008,-0.9124030908581064
2018-12-12_3,CRE_L,L,inferior/ventrolateral protocerebrum,10,0.0207756652701866,10,41,2000,247,0.22275881010772122,0.22261431646621482,0.7121532806757208,-0.13812570889926287
2018-12-12_3,EPA_L,L,inferior/ventrolateral protocerebrum,1,0.0641271040364944,1,41,2000,247,0.1413357488422351,0.2001304613958391,-0.4243231006627584,-1.1903276384514436
2018-12-12_3,IB_L,L,inferior/ventrolateral protocerebrum,3,0.0356146528386148,3,41,2000,247,0.19690260766483683,0.2105201882628634,0.351260888142941,-0.7041080545417873
2018-12-12_3,LAL_L,L,inferior/ventrolateral protocerebrum,5,0.0372312491272941,5,41,2000,247,0.24792726870802642,0.245153850634472,1.0634463702425543,0.9166818972169775
2018-12-12_3,VES_L,L,inferior/ventrolateral protocerebrum,6,0.0256192691445413,6,41,2000,247,0.22273512355991612,0.24094819160486222,0.7118226716109478,0.7198650020651969
