recording_id,roi,label,atlas_region,base_region,side,n_rois_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2018-11-03_5,483,ME_L_483,ME_L,ME,L,693,2000,398,0.018113525630702645,-1.1705824847169892,0.26446145688997197,-1.2150796829790516,0.018926984,1.0201978668921012,-0.0004708279035931636,-0.24505619592108985,,
2018-11-03_5,491,ME_L_491,ME_L,ME,L,693,2000,398,0.055901306705825084,0.3091828365467385,0.27106079429378405,0.36096030708414123,0.018486587,0.6196238812419096,-0.0017786179965286586,-0.9257339186989338,0.0011301246866315105,0.11219842920542354
2018-11-03_5,492,ME_L_492,ME_L,ME,L,693,2000,398,0.038008354641031854,-0.3915031843624541,0.26740362310226656,-0.5124376866309776,0.017946994,0.12882265363285134,-0.0013940832005662983,-0.7255915023750839,0.000691819697211306,-0.16799800039193263
2018-11-03_5,493,ME_L_493,ME_L,ME,L,693,2000,398,0.01802249436352951,-1.1741472590562314,0.26556327408803493,-0.9519459985452907,0.018851392,0.9514414420682937,-0.00039534701230919603,-0.20576995153833227,,
2018-11-03_5,494,ME_L_494,ME_L,ME,L,693,2000,398,0.02158882435764474,-1.0344901715182515,0.2672287243855637,-0.5542066332490405,0.018073969,0.2443157597071713,-0.00030025337739293114,-0.15627567931901865,-0.0012049650008967845,-1.3805607431246232
2018-11-03_5,495,ME_L_495,ME_L,ME,L,693,2000,398,0.018456001277510584,-1.1571711763229806,0.2644158310469382,-1.2259759516195965,0.018356368,0.5011794484533726,-3.777596442771785e-07,-0.00019661608985491945,,
2018-11-03_5,496,ME_L_496,ME_L,ME,L,693,2000,398,0.03253164343687378,-0.6059705884785708,0.26664940066686055,-0.692559515061222,0.018186508,0.34667868091628884,-0.00080893881419792,-0.4210359390924126,0.0029424138195730753,1.270745460851208
2018-11-03_5,497,ME_L_497,ME_L,ME,L,693,2000,398,0.02353386464867231,-0.9583226091678344,0.26876477903501317,-0.18736926665881046,0.018821731,0.9244627241594573,-0.00019275581913682594,-0.10032542128204068,-0.0015174983485838711,-1.58035479125506
2018-11-03_5,498,ME_L_498,ME_L,ME,L,693,2000,398,0.037702639664448354,-0.4034749489823419,0.271628234294422,0.49647514414192256,0.018269012,0.4217223465187757,-0.0004547102231467735,-0.23666727626037873,0.0030886307285541096,1.36421794424101
2018-11-03_5,531,ME_L_531,ME_L,ME,L,693,2000,398,0.017193790512855137,-1.206599210055624,0.26444175152686183,-1.2197856766841693,0.018574052,0.6991792477858202,0.0002617094533873259,0.13621436324025266,,
2018-11-03_5,545,ME_L_545,ME_L,ME,L,693,2000,398,0.02246982163564442,-0.9999904156971845,0.26790511688775204,-0.3926719870871532,0.018284338,0.4356623673021157,0.00024391814791785844,0.12695435633423657,,
2018-11-03_5,546,ME_L_546,ME_L,ME,L,693,2000,398,0.03349646291089838,-0.5681883647458985,0.2686632723163168,-0.21161088943644532,0.018534854,0.6635261367789403,-0.00040784733426471836,-0.21227611084374193,0.0035017832091848115,1.6283350607382407
2018-11-03_5,549,ME_L_549,ME_L,ME,L,693,2000,398,0.017891578268428538,-1.179273918839206,0.26613083567394263,-0.8164021247470628,0.018650308,0.7685405082221278,-4.9818160464567255e-05,-0.025929323215690893,,
2018-11-03_5,550,ME_L_550,ME_L,ME,L,693,2000,398,0.033829633927803616,-0.555141424628234,0.2677280855738559,-0.4349502361175112,0.018347634,0.49323526305557464,-0.0008119185632794578,-0.42258683692397353,0.0037123157674619307,1.7629227851930307
2018-11-03_5,561,ME_L_561,ME_L,ME,L,693,2000,398,0.025151302916588486,-0.8949839057549752,0.2654534537065562,-0.9781730729231637,0.017853169,0.0434815346612419,-0.0007161917911863998,-0.3727630298855529,,
2018-11-03_5,569,ME_L_569,ME_L,ME,L,693,2000,398,0.018090722374872113,-1.1714754576894653,0.26643448395254943,-0.7438854763754068,0.018561115,0.6874129079291968,4.8628162371931394e-05,0.02530995379533748,,
2018-11-03_5,580,ME_L_580,ME_L,ME,L,693,2000,398,0.019213028237601088,-1.12752608441942,0.2655054021264092,-0.9657668596779305,0.018767955,0.8755489735474241,0.0001637628847044069,0.08523519794061049,-1.1609150554360337e-05,-0.6176808841766828
2018-11-03_5,775,OTU_L_775,OTU_L,OTU,L,693,2000,398,0.031313178001815,-0.6536855599497466,0.26933253246525096,-0.05177957699793055,0.018234707,0.390519944626849,-0.0004768049077943743,-0.24816710311536413,-0.0005202243938786523,-0.9428247421254005
2018-11-03_5,776,OTU_L_776,OTU_L,OTU,L,693,2000,398,0.03578646345765091,-0.4785121969914947,0.2655948443224903,-0.9444064610201129,0.018195309,0.35468385814055736,-0.0010802179152372084,-0.5622311062145047,0.0025918569812440344,1.0466440318424535
2018-11-03_5,777,OTU_L_777,OTU_L,OTU,L,693,2000,398,0.04521105073871177,-0.10944640299814158,0.26935986818592805,-0.0452513172184857,0.017752694,-0.04790794043537043,-0.0017482605433048455,-0.9099334915192647,0.0020582030002627054,0.7054935915766894
2018-11-03_5,778,OTU_L_778,OTU_L,OTU,L,693,2000,398,0.038592238821759224,-0.3686383445202526,0.2665961006372297,-0.7052885169336252,0.017242625,-0.5118541280059354,-0.0015768824297278,-0.8207347242906925,0.0005264543683599207,-0.27371154653395374
