roi,atlas_region,ito_neuropil_block,ito_block_order,base_region,side,side_order,label,plot_order,side_key,mean_FCV_all_other,mean_FCV_excl_same_side_key,n_available_targets,n_available_targets_excl_same_side_key,big_group,n_cells,n_postdca_cells,mean_DCA,median_DCA,mean_DCA_positive,median_DCA_positive,mean_PostDCA,median_PostDCA,weighted_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,weighted_PostDCA_positive,mean_mapping_confidence,mean_FCV_all_other_z,mean_FCV_excl_same_side_key_z,fcv_source,postdca_source
270,AL_R,AL,301,AL,R,0,AL_R_270,20,AL_R,0.2368842957353713,0.2366823801731985,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,-0.07442277492471591,-0.10783192669431216,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
271,AL_R,AL,323,AL,R,0,AL_R_271,21,AL_R,0.24362475504089143,0.2430368902676567,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,1.6136416204412154,1.4972996214076884,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
272,AL_R,AL,305,AL,R,0,AL_R_272,22,AL_R,0.24057250424453186,0.24023434086504658,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.849243281763863,0.7893834493699634,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
158,ATL_R,ATL,218,ATL,R,0,ATL_R_158,28,ATL_R,0.24067142901140115,0.24067142901140115,718,718,inferior/ventrolateral protocerebrum,23,23,-0.0076735473612765,1.6035080493090552e-18,0.0477902889414569,1.6035080493090552e-18,-0.0228575836458514,-0.0008131630509101,-0.0275798876863741,0.0076843012696145,0.0038748744689311,0.0076853435732458,0.4472311220942201,0.8740177621372058,0.8997906975427217,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
188,AVLP_R,AVLP,750,AVLP,R,0,AVLP_R_188,29,AVLP_R,0.23675992124113862,0.23674802750679977,718,691,optic/lateral protocerebrum,2172,1954,0.0015292947974041,0.0005348426399483,0.0044312812560925,0.0005348426399483,-0.0051064366906135,0.0008561869309627,-0.005056039886152,0.0220640996038256,0.0074764792285033,0.0239806030514742,0.7343042661906756,-0.10557082372813587,-0.09124959310040466,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
189,AVLP_R,AVLP,742,AVLP,R,0,AVLP_R_189,30,AVLP_R,0.23525703903012596,0.23524071921488587,718,691,optic/lateral protocerebrum,2172,1954,0.0015292947974041,0.0005348426399483,0.0044312812560925,0.0005348426399483,-0.0051064366906135,0.0008561869309627,-0.005056039886152,0.0220640996038256,0.0074764792285033,0.0239806030514742,0.7343042661906756,-0.4819490252494541,-0.471991468729295,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
190,AVLP_R,AVLP,744,AVLP,R,0,AVLP_R_190,31,AVLP_R,0.23271519518572245,0.23262981467067811,718,691,optic/lateral protocerebrum,2172,1954,0.0015292947974041,0.0005348426399483,0.0044312812560925,0.0005348426399483,-0.0051064366906135,0.0008561869309627,-0.005056039886152,0.0220640996038256,0.0074764792285033,0.0239806030514742,0.7343042661906756,-1.1185222760965658,-1.131498683399645,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
191,AVLP_R,AVLP,740,AVLP,R,0,AVLP_R_191,32,AVLP_R,0.23526073228075822,0.23510462065626664,718,691,optic/lateral protocerebrum,2172,1954,0.0015292947974041,0.0005348426399483,0.0044312812560925,0.0005348426399483,-0.0051064366906135,0.0008561869309627,-0.005056039886152,0.0220640996038256,0.0074764792285033,0.0239806030514742,0.7343042661906756,-0.4810240964555985,-0.5063695855067726,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
192,AVLP_R,AVLP,739,AVLP,R,0,AVLP_R_192,33,AVLP_R,0.2348480137976451,0.23476378772241097,718,691,optic/lateral protocerebrum,2172,1954,0.0015292947974041,0.0005348426399483,0.0044312812560925,0.0005348426399483,-0.0051064366906135,0.0008561869309627,-0.005056039886152,0.0220640996038256,0.0074764792285033,0.0239806030514742,0.7343042661906756,-0.5843843194128258,-0.5924630351404454,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
193,AVLP_R,AVLP,737,AVLP,R,0,AVLP_R_193,34,AVLP_R,0.23725586294715906,0.23724633479367369,718,691,optic/lateral protocerebrum,2172,1954,0.0015292947974041,0.0005348426399483,0.0044312812560925,0.0005348426399483,-0.0051064366906135,0.0008561869309627,-0.005056039886152,0.0220640996038256,0.0074764792285033,0.0239806030514742,0.7343042661906756,0.01863162274676848,0.03462143942938708,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
194,AVLP_R,AVLP,743,AVLP,R,0,AVLP_R_194,35,AVLP_R,0.23663603118647597,0.23660422733210248,718,691,optic/lateral protocerebrum,2172,1954,0.0015292947974041,0.0005348426399483,0.0044312812560925,0.0005348426399483,-0.0051064366906135,0.0008561869309627,-0.005056039886152,0.0220640996038256,0.0074764792285033,0.0239806030514742,0.7343042661906756,-0.1365975506523216,-0.12757311664480617,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
195,AVLP_R,AVLP,753,AVLP,R,0,AVLP_R_195,36,AVLP_R,0.23313490123426875,0.23304066587976557,718,691,optic/lateral protocerebrum,2172,1954,0.0015292947974041,0.0005348426399483,0.0044312812560925,0.0005348426399483,-0.0051064366906135,0.0008561869309627,-0.005056039886152,0.0220640996038256,0.0074764792285033,0.0239806030514742,0.7343042661906756,-1.0134121040804678,-1.027718812492325,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
196,AVLP_R,AVLP,741,AVLP,R,0,AVLP_R_196,37,AVLP_R,0.2376853818325775,0.23766893527793598,718,691,optic/lateral protocerebrum,2172,1954,0.0015292947974041,0.0005348426399483,0.0044312812560925,0.0005348426399483,-0.0051064366906135,0.0008561869309627,-0.005056039886152,0.0220640996038256,0.0074764792285033,0.0239806030514742,0.7343042661906756,0.12619929799678548,0.14136914451591492,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
