,ATL_L,CRE_L,EPA_L,IB_L,LAL_L,VES_L,MB_L,LH_L,AME_L,AOTU_L,AVLP_L,ICL_L,ME_L,PLP_L,PVLP_L,SIP_L,SMP_L,SPS_L,ATL_R,CRE_R,EPA_R,IB_R,LAL_R,VES_R,MB_R,AL_R,LH_R,AOTU_R,AVLP_R,ICL_R,LO_R,ME_R,PLP_R,PVLP_R,WED_R,SIP_R,SLP_R,SMP_R,SPS_R,NO,PB
LAL_R,0.14194606832668547,0.29218820791535133,0.15605678963814834,0.2452583441771729,0.3699430269136871,0.3493612667154719,0.33694415853020543,0.2165736649390233,0.07325751187700921,0.22420415817234582,0.13839307217865768,0.25150465646280673,0.03354919818969976,0.25929278782814047,0.21074605075665603,0.2311486515742273,0.26844901204965865,0.28388803816702673,0.18315620468651578,0.4521042585965732,0.22083153413213327,0.27611795223021296,,0.503284703376439,0.45550629914650476,0.48497205639388685,0.2885339210973463,0.23357716567133363,0.2014804225216361,0.3252624350749858,0.07402926467067186,0.06201568874136738,0.30089299915507645,0.2776535526810969,0.15797394378487364,0.30872345835184967,0.3309267942828505,0.3272437333307485,0.337694043710538,0.14380592099746115,0.16634952466168668
VES_R,0.12887919502830184,0.26701004188124394,0.15238259990148934,0.24902074449020706,0.3562812735458603,0.40731721905872675,0.3128706976385006,0.22099250211345983,0.07337496244062548,0.18688607495721804,0.1303946079271892,0.2242915378134427,0.04448271669351547,0.2877317589080719,0.24033849323728623,0.17969314508183412,0.2044944928134592,0.3277259744775952,0.14341469417347524,0.3554679371005271,0.20025950287080213,0.2657355454094246,0.503284703376439,,0.39480320548181114,0.43498285521363045,0.278865737118842,0.21346666789078114,0.16216502503144561,0.27628210597303243,0.07676937890277998,0.07156016133184089,0.29560130677862817,0.26778592549327324,0.1987914014643795,0.24435846731978583,0.29053766810500875,0.2703970922789768,0.3396899336733959,0.12721381222895917,0.16681839802101814
MB_R,0.1479735445620169,0.36018875767089037,0.10888730167507536,0.2272316282786333,0.3035883346117797,0.2733525681208385,0.46926496670367557,0.23602156008317046,0.05416737647482726,0.22042341913856203,0.15482124774398934,0.24339575357505247,0.03158245008575246,0.2695721868829583,0.2178550602599331,0.21619626740320466,0.2878371235159232,0.21923928465700757,0.20539750824584074,0.6150382884430796,0.11072635341656183,0.26384609212018156,0.45550629914650476,0.39480320548181114,,0.5363660717075713,0.3508254839112607,0.3010094498466883,0.190460179889237,0.3349063580079605,0.07968316784891036,0.06960053663053249,0.33753094495195307,0.2585160731219379,0.11875118061768901,0.39115346048627514,0.4017234044733538,0.40848185791246616,0.24755680439689995,0.0991108805291688,0.16793337644250148
AL_R,0.11480938912028663,0.22557194520990054,0.09926025989905851,0.17984897782636342,0.2478783041391091,0.2688820838414305,0.2908097280704546,0.19409516940269153,0.04013107038560791,0.16633924095147323,0.1392253355603407,0.1828159987655617,0.021177100962720737,0.1862903063785894,0.16092314518290632,0.17438941733760854,0.2042295472873017,0.1665384301581529,0.17263448040757662,0.45538098743594607,0.13163391766971377,0.20715189102504192,0.48497205639388685,0.43498285521363045,0.5363660717075713,,0.3610776394465,0.2194599059302142,0.21472725758142747,0.25340573665178,0.04796766436471721,0.08474486644115371,0.26194618885174015,0.24891371848585436,0.08760362331706505,0.32711026436794455,0.35514979470882235,0.2900360977007131,0.21616836587960547,0.08796426936399146,0.10543679220722373
LH_R,0.09760554199161353,0.1808459000031612,0.07509438272343891,0.15733577151017927,0.19866890109390167,0.19752703574925318,0.22903765984,0.19290777637500625,0.04321449845931245,0.1324861382412756,0.10897841202045529,0.15723384312718108,0.019885361978560976,0.20816160920462648,0.15768034907808692,0.16001195610635394,0.1890484221299149,0.16293897790289597,0.16360401889450107,0.2775020037402416,0.09054773432356633,0.19251099989923426,0.2885339210973463,0.278865737118842,0.3508254839112607,0.3610776394465,,0.19904541348630317,0.1552092952782312,0.2267805433308086,0.06408517429828056,0.03303137422338681,0.3251014054209874,0.24049051370568347,0.07174502851555449,0.2646261271789237,0.38269934517974086,0.24552021501568677,0.20375075443353227,0.062392475972972296,0.12013426960321298
AOTU_R,0.10388201694665286,0.21065376989885737,0.07929189041130298,0.1466783293225338,0.18449636072844242,0.166407053778951,0.21918816377563935,0.13954883667131449,0.03903705335053612,0.1892929626649374,0.1199796526826347,0.16238525726298575,0.03341415723061942,0.16365887591906003,0.14891645681223964,0.1605808879227429,0.2229303660542415,0.17070744564868004,0.1352757409273447,0.27845155235656593,0.11400899843823584,0.17947897791173004,0.23357716567133363,0.21346666789078114,0.3010094498466883,0.2194599059302142,0.19904541348630317,,0.17223376213181235,0.2544773627078392,0.03462080467310734,0.034296684892359215,0.21455354209287053,0.2257782919224279,0.08240911754557033,0.2948221636568166,0.3166005719399387,0.2696544341481822,0.1900910187920141,0.08389585214617531,0.09225495320733819
AVLP_R,0.0990515577643252,0.14203504362668676,0.09665772478997421,0.13392883982355067,0.1324099467216623,0.14580016012146418,0.13627742060533876,0.1259637168201972,0.04512595854175397,0.15098899641328953,0.4705849811221118,0.15710536145207438,0.02526172850014542,0.1573363383901765,0.18689367697080767,0.15069703369597076,0.17794241395498317,0.15912006242489574,0.11783907212354845,0.183960947189583,0.1395975445917693,0.15694719773438776,0.2014804225216361,0.16216502503144561,0.190460179889237,0.21472725758142747,0.1552092952782312,0.17223376213181235,,0.22691707392626856,0.06257354916473919,0.09117127904513378,0.23702969641803556,0.3278286716495189,0.030457489845804375,0.2103793124179527,0.22039142840914022,0.19464238792888258,0.20444033362384878,0.059922193112583566,0.07993785411169756
ICL_R,0.18751758176557107,0.23264809719305507,0.15673476999635025,0.25337960414381994,0.24944202156060732,0.22210322878298946,0.2640151909368077,0.18002558329464408,0.0524496961012748,0.192219819320556,0.18508751605737997,0.2876333024592715,0.03910071362634919,0.24343045878075534,0.2078063788441694,0.22662471874213835,0.3069752791444315,0.24047709791162925,0.23690677325351356,0.2998100363612791,0.18877141061299357,0.30582264160578554,0.3252624350749858,0.27628210597303243,0.3349063580079605,0.25340573665178,0.2267805433308086,0.2544773627078392,0.22691707392626856,,0.06056968510971036,0.07151651914935249,0.32888488799763704,0.29682470975321185,0.0990007620354898,0.3225831086018881,0.2987772649666387,0.36441663065669216,0.2904800746002124,0.06141918365138192,0.17834442874395656
LO_R,0.022651143963467235,0.02433084368017055,0.031615094776365704,0.05088997738502286,0.05689887986872004,0.06999576222363842,0.04827308196635012,0.05569348996893451,0.026618759387319623,0.03949418591976751,0.03167885607095639,0.06223901343410314,0.012697366516809737,0.07792215812363011,0.06964077969958446,0.030257450009771723,0.028134205833453173,0.08917466804701976,0.015610855377672817,0.04303426790843536,0.05036443252540933,0.06657479645301678,0.07402926467067186,0.07676937890277998,0.07968316784891036,0.04796766436471721,0.06408517429828056,0.03462080467310734,0.06257354916473919,0.06056968510971036,,0.057047198281846366,0.13272799269656502,0.09248062210294788,0.04671106366034232,0.01615728202684178,0.06064936477385206,0.030027595562539904,0.11378781103464727,0.03870857584830582,0.05107177244012763
ME_R,0.02905423972740964,0.03232536886300987,0.03398453153541714,0.0562485661337264,0.04685024062415449,0.06012842045972559,0.04661512668004676,0.05075541168973604,0.009826400085077363,0.043925898431907105,0.05857917748312985,0.06801081711232557,0.011193466220892985,0.08085425654204914,0.07491875594232303,0.023430028718130845,0.04314290281110596,0.07613958325380363,0.0335070454933189,0.05995580109332977,0.03850309276841639,0.06125868647291013,0.06201568874136738,0.07156016133184089,0.06960053663053249,0.08474486644115371,0.03303137422338681,0.034296684892359215,0.09117127904513378,0.07151651914935249,0.057047198281846366,,0.09038319147676917,0.10489805566459724,0.02134543282155082,0.047536137173281784,0.07189320236877596,0.04898210353958072,0.08900499258171397,0.005291736217449848,0.04407082912439455
PLP_R,0.1237604256236712,0.20436586345089885,0.12485188853441884,0.22025954588041458,0.23455611562744566,0.23225933311357463,0.24347835827421313,0.21506997232132172,0.06677088732923346,0.17633019355543084,0.1693248451605415,0.22423397584712554,0.038280806983210215,0.30440398172346195,0.264910107075563,0.17670875629360933,0.19686844179259338,0.2772247713688924,0.16257975351328677,0.26001747233780453,0.15099196177801918,0.2746116729621104,0.30089299915507645,0.29560130677862817,0.33753094495195307,0.26194618885174015,0.3251014054209874,0.21455354209287053,0.23702969641803556,0.32888488799763704,0.13272799269656502,0.09038319147676917,,0.37816996655114543,0.11488733978067653,0.2276234644307935,0.33055446767550034,0.2520184402131984,0.37843737423731405,0.08687942647825736,0.16223556666353633
PVLP_R,0.11680007435114761,0.17971822623396908,0.13703384294741566,0.20271081252795037,0.20375726610415187,0.23338151716699967,0.22616610250103147,0.18678511913082446,0.06033539907055772,0.17994449696103282,0.1996549476140801,0.22359791290989697,0.032693998594599795,0.2691396555209,0.25814747254357073,0.16052222603143534,0.21528282167806112,0.27731470484678256,0.1492258319905147,0.2293799261290196,0.16326002072973145,0.23936663160109944,0.2776535526810969,0.26778592549327324,0.2585160731219379,0.24891371848585436,0.24049051370568347,0.2257782919224279,0.3278286716495189,0.29682470975321185,0.09248062210294788,0.10489805566459724,0.37816996655114543,,0.1008714907278319,0.230880285870153,0.3041026317799764,0.23732422527270866,0.3397154768082009,0.0905625877640328,0.13406306471245794
WED_R,0.03856208448067412,0.09314557756319707,0.07119164802921282,0.10287453451710835,0.14914269886112846,0.16390748372622385,0.13769221136042076,0.08231095261524213,0.042251144264740005,0.09682628740969505,0.03632271523833269,0.10280435197898279,0.02814397520143337,0.1321398367847757,0.10466105198081328,0.06336322283553884,0.07218059863449658,0.18711640904546153,0.024948269383791695,0.09989622810117532,0.08510750779925028,0.1011549510277651,0.15797394378487364,0.1987914014643795,0.11875118061768901,0.08760362331706505,0.07174502851555449,0.08240911754557033,0.030457489845804375,0.0990007620354898,0.04671106366034232,0.02134543282155082,0.11488733978067653,0.1008714907278319,,0.03863194954564066,0.09204689712965344,0.07719357282105481,0.1684818311759157,0.08742917359071462,0.09153362384463827
