roi,label,atlas_region,base_region,side,n_recordings,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z,FCS,FCV,Metastability,NetTE,NeighborNetTE
300,SCL_R_300,SCL_R,SCL,R,20,0.6662163032162622,0.3175196571253175,-0.5562475392623557,0.5569460058918491,-0.18869139337323187,0.08198938676106078,0.20840891963990282,0.04467223,0.014710075415869092,0.005403564010746727
301,SCL_R_301,SCL_R,SCL,R,20,0.5221806437033274,0.6073983965150912,-0.46759238779665335,0.1537085443871388,-0.0529647590499749,0.07749745223794333,0.21064673887130447,0.044109613,0.007791075253431734,0.00559396478791486
302,SCL_R_302,SCL_R,SCL,R,20,1.3072056191295043,1.0198601259840463,-1.0637762622263744,0.9664236158898278,-0.2906951401934771,0.10076278235498644,0.2162592175321055,0.036205634,0.022750041067521928,0.004826962468532483
303,SCL_L_303,SCL_L,SCL,L,20,0.3664919520676259,0.053218260257302294,-0.13307699061473616,-0.1353442903770162,0.0894971711248772,0.07578900870486417,0.20569941293846314,0.05197347,0.003300347252738617,0.008304758373666668
304,SCL_L_304,SCL_L,SCL,L,20,0.19754158066190017,0.41788919966944,-0.6309699358351581,0.3323603564803472,0.3408494333797058,0.07009273652781353,0.20932985752956812,0.04249042,0.010511284173545913,0.010424337821022187
305,SCL_L_305,SCL_L,SCL,L,20,0.324683044475088,0.5510190577064681,-0.4522946623085148,0.4896776339110277,0.3629340748672265,0.07224325813500561,0.21007622915934396,0.043610685,0.01417287854504343,0.01124318690316713
306,SCL_L_306,SCL_L,SCL,L,20,0.5509200512939333,0.5848043985573369,-0.4337641798403135,0.4983350701300632,0.1405508456358941,0.08307401132924212,0.21243411387028505,0.04507182,0.011146444631297674,0.009265008865043353
307,SCL_L_307,SCL_L,SCL,L,20,0.6781790546873403,0.42852867401275657,-0.741291046847152,0.42843890014654695,-0.06299905989192288,0.08517440907730153,0.20970185460490276,0.03863215,0.014743322592815883,0.007512291403404909
308,SCL_L_308,SCL_L,SCL,L,20,0.4247923199106838,0.21154812366822698,-0.4786931010087683,0.04622168815463531,0.15779614326017366,0.07867443307136471,0.20847789901953603,0.04453443,0.004615064088422934,0.009555380603563028
309,SCL_L_309,SCL_L,SCL,L,20,-0.2726862361589292,-0.06243393651180307,-0.08607307391898589,0.118514178733272,0.7215100026780966,0.05599601751988355,0.20329324695302567,0.050128978,0.005181079903983158,0.011402800012715646
