neuron,n_recordings_basic,FCS_z,FCV_z,Metastability_z,FCS,FCV,Metastability,cluster_label,cluster_sort
RMEV,6,0.6013103562196711,0.029286878669062034,-0.16790779886320042,0.3517504996405134,0.2734652645298869,0.029632924442771578,M3,3
URADL,8,-0.8809432631674277,-0.6890873337668468,0.2859413140211086,0.2589203131054078,0.26434335326892766,0.0348221805886537,M3,3
URADR,4,-1.4540226872828936,-0.9938860715760924,0.13171793725954012,0.22382564077713146,0.25495628718846863,0.040569499259718,M3,3
URAVL,7,-0.44166696862679633,0.06737339524381479,0.05213229071890124,0.28492795255798004,0.2820228559585268,0.03632809451311585,M3,3
URAVR,2,-1.1747090418028572,-0.6900259894302172,-0.4871563933476637,0.2259999566858094,0.2497707905955836,0.028166924468628278,M3,3
IL1L,15,0.07638474104856968,0.41130597889837467,-0.9744058766938625,0.3132040067427242,0.2875354355233786,0.03164861348039049,M5,4
IL1R,13,0.9959504748631797,0.27816278546635104,0.2167538448549455,0.37150778498272835,0.2774475767298586,0.03289491738418528,M5,4
IL1VR,12,0.4204360047442794,0.29355434387878526,-0.33095291634294954,0.33175563810436953,0.27899730669398315,0.0343476701357455,M5,4
RIAL,12,-0.18375944365588737,0.8465014290592711,-0.03797664042640258,0.300439999414538,0.3010095939016118,0.034030820990786914,M5,4
RIAR,8,-0.6538614239723901,0.22110379109969427,0.3217470227877921,0.2762740307853686,0.2873336376524244,0.03525929172208015,M5,4
RIVL,18,0.2225658229043851,1.1698026739271312,-0.37235437723302844,0.3247587544281469,0.31164251056693654,0.03156079407721842,M5,4
RIVR,16,0.09812081019075576,1.1795305985740883,-0.4097446326141712,0.31640915995632474,0.3125394040200995,0.030384629074501544,M5,4
RMDDL,16,0.029630369483298155,-0.4230037409606713,-0.45930194626315585,0.311582021647975,0.26140644775604255,0.029395290240526478,M5,4
RMDDR,12,-0.6153954335504296,-0.8163818557598909,-0.10279069196107488,0.2665999960303936,0.2431975809919437,0.0315064663601046,M5,4
RMDL,14,0.27957579983294556,0.7687535005908178,-0.38825595050636225,0.328496120471514,0.30058773464150473,0.03071860855230247,M5,4
RMDR,5,0.07827282257837968,0.22142933470631684,0.0136247956751461,0.3077435130706229,0.2777035488588672,0.03438672395898768,M5,4
RMDVL,14,-0.17552094172270732,-0.282837641376843,-0.22908289435992107,0.2978390873610715,0.26435338897856686,0.034106086865632976,M5,4
RMDVR,14,-0.47998668136680445,-0.3759817258830704,-0.35686438334735876,0.2812703243916032,0.2592125326069879,0.03253304107066924,M5,4
RMED,3,1.478310368444708,0.8179836691275876,-0.12963510025675518,0.41255831982200514,0.30613671476237253,0.043193797688146796,M5,4
RMGL,6,-1.4704208134150019,-1.4439115699115137,-0.14051082413895358,0.20426648017546178,0.2165616416352001,0.028962538605914915,M5,4
SMDDL,6,0.3065103132549489,0.12033974586498342,-0.2598375257530504,0.31868671994331554,0.2724544321072679,0.0289908931569615,M5,4
