uid,neuron,phase,n_neurons_recording,n_time,n_windows,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2023-01-16-08,AVBL,spontaneous,71,803,50,0.011494246573527813,0.9157278484581424,-0.002432946767045283,-1.3177883402332513
2023-01-16-08,AWAR,spontaneous,71,803,50,-0.014803999361926033,-1.1794104465701833,0.002208606358364504,0.33475196566809856
2023-01-16-08,SMDVL,spontaneous,71,803,50,0.013278115296423022,1.0578457556301335,0.0014840953025376728,0.07680302283028981
2023-01-16-08,ADAL,spontaneous,71,803,50,0.016594123544896266,1.3220267160279473,0.0015023889534680607,0.08331614347929385
2023-01-16-08,AVAR,spontaneous,71,803,50,0.015789977417093277,1.2579617076127878,0.0027731995847022797,0.5357650829917715
2023-01-16-08,RMDDL,spontaneous,71,803,50,-0.014403206415692463,-1.1474799272461125,0.0027685793849922874,0.5341201451798399
2023-01-16-08,RIBL,spontaneous,71,803,50,0.021497745216965698,1.7126902444890972,0.0015235002452708556,0.09083243375350745
2023-01-16-15,URYDL,spontaneous,70,802,50,-0.001065971908151779,-0.07034312693911307,0.005194712506031776,0.3381746094172974
2023-01-16-15,OLQDR,spontaneous,70,802,50,-0.011105934751704164,-0.7328768910722532,0.005802449344871483,0.4864801154637559
2023-01-16-15,AWAL,spontaneous,70,802,50,0.025297290538603058,1.669359676333239,0.004582700891964351,0.18882593359263025
2023-01-16-15,CEPDL,spontaneous,70,802,50,0.01861642718251836,1.2284917552125443,0.003691690028158135,-0.02860669284146655
2023-01-16-15,CEPVR,spontaneous,70,802,50,-0.010859327022971746,-0.7166033301709458,0.00042287119009281054,-0.8262937852991579
2023-01-16-15,IL2DL,spontaneous,70,802,50,-0.01012924238063303,-0.6684252906939272,-0.0006849754211194474,-1.0966406555191197
2023-01-16-15,OLLL,spontaneous,70,802,50,-0.005318185602522438,-0.35094527544597665,0.0018648207017435154,-0.474416067260734
2023-01-16-15,AWCL,spontaneous,70,802,50,-0.004075879789414309,-0.26896593355114273,0.007447988961791707,0.8880397544561462
2023-01-16-15,IL1R,spontaneous,70,802,50,-0.0017162819621436682,-0.1132568682186999,0.0032427975887537926,-0.1381495346303435
2023-01-16-15,AUAR,spontaneous,70,802,50,0.018840376381905062,1.2432700873992577,0.0034935226137161207,-0.07696531914566
2023-01-16-15,AWBL,spontaneous,70,802,50,-0.013855185010538106,-0.9142989890334027,0.005280229572168406,0.35904326663612773
2023-01-16-15,AVDL,spontaneous,70,802,50,-0.007922782856427626,-0.5228217703663576,0.005964596190345336,0.5260486728310331
2023-01-16-15,CEPVL,spontaneous,70,802,50,-0.012216258515582761,-0.8061467820222361,0.00583871365598292,0.4953296645894529
2023-01-16-15,RIVL,spontaneous,70,802,50,0.0065686497699703125,0.433462984393963,0.003253664190468176,-0.13549776701768118
2023-01-16-15,AVJR,spontaneous,70,802,50,-0.017105820951813837,-1.1288073591896677,0.000835479460897503,-0.725605338442008
2023-01-16-15,RIR,spontaneous,70,802,50,0.02096202084772761,1.38327669061058,0.006824667747071535,0.7359312063630953
2023-01-16-15,RIVR,spontaneous,70,802,50,-0.001169234491642633,-0.07715739001960285,0.0029305093333589845,-0.2143569730951824
2023-01-16-15,IL2DR,spontaneous,70,802,50,-0.016836342045729442,-1.1110245370035048,0.005383334771473148,0.38420394109533035
2023-01-16-15,CEPDR,spontaneous,70,802,50,-0.013727667699790932,-0.9058841646761875,0.009894821900035147,1.4851383239786808
2023-01-16-15,URYVL,spontaneous,70,802,50,-0.0020934104827826407,-0.13814345218662366,0.00015673556676024515,-0.8912386360517974
