uid,neuron,phase,n_neurons_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z
2023-01-06-01,URADR,spontaneous,65,802,50,0.22689125532869,-1.337527443534123,0.25754583423399263,-0.652789897704718,0.06460342918437802,1.4401420156720082
2023-01-06-01,IL2DL,spontaneous,65,802,50,0.21561941736309032,-1.5234354426039836,0.2423623740911811,-1.1936256517384394,0.060084097787746926,1.024596697540869
2023-01-06-01,URBL,spontaneous,65,802,50,0.30351575066665715,-0.07374893185805871,0.2751502263886468,-0.025720401310947643,0.03363202251770526,-1.4076294590787266
2023-01-06-01,FLPL,spontaneous,65,802,50,0.3025644676998902,-0.08943857479300964,0.2750618872642125,-0.028867046181400118,0.04570154049895958,-0.29785651944686914
2023-01-06-01,CEPDR,spontaneous,65,802,50,0.2970760548676172,-0.17995973476986352,0.25846707456867496,-0.6199752621494568,0.05872583112535626,0.8997062430035463
2023-01-06-01,ASKR,spontaneous,65,802,50,0.24570836930697318,-1.027174152558119,0.27676737540440816,0.03188254288608191,0.05750670416012842,0.7876094618324431
2023-01-06-01,IL1VR,spontaneous,65,802,50,0.3441189126408786,0.5959246938251658,0.2787507978384788,0.10253216804453756,0.04852213163417523,-0.038507660570359065
2023-01-06-01,RIVL,spontaneous,65,802,50,0.34383466220621317,0.591236511675576,0.3180545229389281,1.5025331955507408,0.0630838025094971,1.3004147651931692
2023-01-06-01,AVAR,spontaneous,65,802,50,0.40763474419859214,1.643500181530875,0.29866175933879546,0.811761801821951,0.0522796942744859,0.3069942346722749
2023-01-06-01,RMDL,spontaneous,65,802,50,0.3283245939031599,0.3354267872581882,0.3177721438806096,1.4924748366857272,0.04650859245218878,-0.2236493787837652
2023-01-06-01,SMDVL,spontaneous,65,802,50,0.29775396958999034,-0.16877879249931077,0.309855711949552,1.2104910601012324,0.06330553622622995,1.3208028270044438
2023-01-06-01,SAAVL,spontaneous,65,802,50,0.22406169173144455,-1.384195831441244,0.24069596959652484,-1.2529830790254795,0.05198006848048464,0.27944412051570694
2023-01-06-01,CEPDL,spontaneous,65,802,50,0.33186693769586023,0.393851158556665,0.28582076043114824,0.35436465641227505,0.0446278437887424,-0.3965812204847597
2023-01-06-01,RID,spontaneous,65,802,50,0.3545042437305214,0.7672114110797805,0.29754621564132483,0.7720260689188857,0.05632230339583075,0.6787056994834971
2023-01-06-01,RIH,spontaneous,65,802,50,0.3250909673915852,0.2820941332277844,0.3182010609098806,1.5077528867982712,0.06582850620833479,1.5527858952588767
2023-01-06-01,AINL,spontaneous,65,802,50,0.29172588034069163,-0.2682009110545821,0.31197601124354035,1.2860162471571126,0.05277370544385783,0.3524177742449697
2023-01-06-01,OLQDL,spontaneous,65,802,50,0.2938192332748187,-0.23367494851694762,0.25814820308153374,-0.6313334835012295,0.038399102405092395,-0.969304062132284
2023-01-06-01,IL1L,spontaneous,65,802,50,0.323073775297504,0.24882430207028566,0.3182638183685063,1.5099883112099557,0.06352076863047369,1.340593103495402
2023-01-06-01,RICL,spontaneous,65,802,50,0.220155553472764,-1.448620315715925,0.2128588122492736,-2.2445442806520917,0.034708874597206,-1.3086146268648537
2023-01-06-01,AUAL,spontaneous,65,802,50,0.2661192633499219,-0.6905344242075121,0.28478511040728116,0.3174747409183833,0.047403745501734665,-0.14134148274699931
2023-01-06-01,AVDL,spontaneous,65,802,50,0.26051154217606265,-0.7830233533382815,0.23167764242924985,-1.5742164295108194,0.049334715914519045,0.036208168752435155
2023-01-06-01,AIBL,spontaneous,65,802,50,0.3930368351472599,1.4027348271477313,0.2851506643005278,0.33049579235425264,0.05004508204105226,0.10152520176751312
2023-01-06-01,SMDVR,spontaneous,65,802,50,0.31483490329665176,0.11293943458499928,0.2908271317245294,0.532691899870709,0.05640982689701894,0.686753345905778
2023-01-06-01,IL1R,spontaneous,65,802,50,0.3571773051721125,0.8112985870588539,0.28585112904706594,0.3554463883188583,0.03984180001248383,-0.836650316784597
2023-01-06-01,URXR,spontaneous,65,802,50,0.2946209769530545,-0.2204516779693567,0.3054330614387916,1.0529559856638575,0.05737017218314481,0.7750555641800111
2023-01-06-01,URAVL,spontaneous,65,802,50,0.3900301871092994,1.3531457608082007,0.2989045578006932,0.820410297486548,0.05085294067232846,0.17580651519119833
2023-01-06-01,ASEL,spontaneous,65,802,50,0.296696969158627,-0.186212048354341,0.26718133369830255,-0.30957283326379204,0.060799148422954884,1.0903444636615085
2023-01-06-01,AVAL,spontaneous,65,802,50,0.4276158776736132,1.9730518087655509,0.3099267288090797,1.213020684864658,0.055637827459975794,0.6157692282324658
2023-01-06-01,AVER,spontaneous,65,802,50,0.4226686150238861,1.891455914387833,0.2865998508158543,0.38211590228836245,0.050924255797907256,0.18236382731225514
2023-01-06-01,CEPVL,spontaneous,65,802,50,0.2498241639190557,-0.9592917767423957,0.2588500100380251,-0.6063350779381989,0.05465618459281673,0.5255087313304558
2023-01-06-01,RMGL,spontaneous,65,802,50,0.22747727646831684,-1.327862114968085,0.2420986930383509,-1.2030179865350201,0.044244435809280336,-0.4318349730461113
2023-01-06-01,RMDVR,spontaneous,65,802,50,0.2615280386857388,-0.7662581343250096,0.28172011211259623,0.2082993192275114,0.04043290455435442,-0.7822991963769454
2023-01-06-01,RMDVL,spontaneous,65,802,50,0.3674619700967596,0.9809250031837422,0.29302123352483606,0.6108459365945057,0.03438343286314091,-1.3385384755598262
2023-01-06-01,RMEL,spontaneous,65,802,50,0.40097661383644373,1.533686706838379,0.30396933697301687,1.0008180330694558,0.056954171912796,0.7368050024235537
2023-01-06-01,RMER,spontaneous,65,802,50,0.406683441009556,1.6278102050672119,0.2861379749105317,0.3656638550490895,0.043796131345888625,-0.4730558538601599
2023-01-06-01,AVEL,spontaneous,65,802,50,0.4389159085316212,2.1594247971505185,0.2919133476362293,0.5713829752989776,0.051368493691474545,0.2232107935130379
2023-01-06-01,RMDDR,spontaneous,65,802,50,0.25204342966748333,-0.9226891165592385,0.2598109969099357,-0.5721046683610815,0.03543543189202094,-1.2418088417349038
2023-01-06-01,SMBVR,spontaneous,65,802,50,0.36316277499217264,0.9100177774106308,0.30390480468909836,0.9985193892752015,0.05570171844706908,0.6216439026538157
2023-01-06-01,RMDDL,spontaneous,65,802,50,0.3435078856537491,0.5858469403211135,0.2738606428687163,-0.07165544304919462,0.022274798772368848,-2.451908079110979
2023-01-06-01,IL1VL,spontaneous,65,802,50,0.3047761745133968,-0.05296058518004334,0.28885569400031025,0.46246917079051425,0.03887612464427064,-0.9254426276106382
2023-01-06-01,ADAL,spontaneous,65,802,50,0.27252490302127563,-0.5848853137697778,0.30547099117363846,1.0543070450767478,0.0240087260320672,-2.2924762314521154
2023-01-06-01,IL2DR,spontaneous,65,802,50,0.22156672595977242,-1.425345650643305,0.24170891556027133,-1.2169018835044694,0.06902829231046703,1.847001126908701
2023-01-06-01,URYVR,spontaneous,65,802,50,0.329786313571054,0.35953513405030746,0.2739323769265066,-0.06910027164096373,0.03472717604694128,-1.3069318377341037
2023-01-06-01,AWBL,spontaneous,65,802,50,0.22849296653768966,-1.3111101966874548,0.2543577585764432,-0.7663493423866082,0.04852594594264422,-0.038156940986621785
2023-01-06-01,OLQDR,spontaneous,65,802,50,0.36007832701400794,0.8591455457829497,0.28480938487711155,0.31833939897860164,0.04794669787218209,-0.09141787774741503
2023-01-06-01,IL1DL,spontaneous,65,802,50,0.36076487375389193,0.8704688571248351,0.2757992404251673,-0.0026024826996077243,0.0397085714090767,-0.8489004745022304
