neuron,n_recordings_basic,FCS_z,FCV_z,Metastability_z,FCS,FCV,Metastability,cluster_label,cluster_sort,n_recordings_te,NetTE_z,NeighborNetTE_z,NetTE,NeighborNetTE
FLPL,16,-0.8348268391891998,-0.410592987252634,-0.3207988919517511,0.2527051150450166,0.257922292322007,0.0311947697117054,M4,2,16,-0.6855711755864731,-0.1114968523455251,-0.0081105359028242,0.0013624705526594
FLPR,9,-1.4922271812426826,-1.544217298772178,0.414836134166557,0.2121497978946339,0.2260807467976198,0.035077980967696,M4,2,9,-1.025589345094699,-0.8155383651921527,-0.0125904584236766,-0.0011150854336289
RIMR,7,1.7151133952266076,0.4384315690067427,0.1436568878824644,0.4234142132691075,0.2820151647613994,0.0334860667546932,M4,2,7,1.182593963251048,-0.3081312006107316,0.0144892228972726,0.0009022037439673
SAADL,3,-0.0765864360324248,-0.3000038123270976,0.9797812863486048,0.2984486630928735,0.257606386922777,0.0322761985478732,M4,2,3,-0.1797922981180126,0.7478975758814402,-0.0015548059503923,0.0030748662510232
SAADR,4,-0.009966002012366,0.0756902183493297,0.4182144896495857,0.2974189100247195,0.2577650490827391,0.0284417971836645,M4,2,4,-0.1772201365055054,0.8895254440997844,-0.0020076079399258,0.0035161361757546
SAAVL,11,-0.1772996900204182,-0.106969336052458,0.5850680190080705,0.3003701402750257,0.274273518016436,0.0390108395512007,M4,2,11,-0.4701050836629454,-0.0812596559129905,-0.0056100646132796,0.001529670742531
SAAVR,4,-0.1911984869485886,0.0953847762409964,0.7776307762436835,0.2847830232510193,0.2567690728034135,0.0301016858823671,M4,2,4,-0.3975431207930514,0.234466249148122,-0.0045119210217898,0.0020712603370769
SMBVR,2,0.578713621344249,1.077666969277889,-0.3627423092297129,0.3429079365954951,0.3029545712997729,0.0410889539869605,M4,2,2,1.146018065012072,0.193294922658725,0.0135864718859149,0.0019525429930142
CEPDL,18,-0.1318662137867598,-0.4751642149016139,-0.336016156374222,0.3016214966764553,0.2588278089873416,0.0309040238493219,M3,3,18,-0.5726811598916084,-0.0966507360509476,-0.006486732913672,0.0014766326841409
CEPDR,17,-0.4870086335537075,-1.08628622130055,0.1279191634073287,0.2803568115981427,0.2382053083106939,0.0336881718473529,M3,3,17,-0.7943436679273223,0.4712982926520038,-0.0095500378572407,0.0028305833901863
CEPVL,15,-0.2947826748961161,-0.7527281749740877,-0.297501429532993,0.2940962590824105,0.2485317551025673,0.033116142179207,M3,3,15,-0.8011102515208152,0.033734747138424,-0.0096349935937578,0.0017423472106555
IL1DL,15,-0.2671859221362767,-0.6846374845079323,-0.653711974697512,0.2934121589650652,0.2519890994152715,0.0320372431175333,M3,3,15,-0.5015186222508824,-0.3814135078111919,-0.0066254393750326,0.000412001428792
IL1DR,16,0.2317456298000762,-0.0783143973980315,-0.4203276439547246,0.3254859803366094,0.2684767203973977,0.0313652440698991,M3,3,16,-0.1942122335233285,0.1373361684810847,-0.0026642126377661,0.0019301980971359
IL1VL,11,-0.3216751661542163,-0.0854175824517078,-0.67139109136165,0.2832441977522612,0.269367836400911,0.0315959036858843,M3,3,11,-0.5232792548019453,-0.3541640600618911,-0.00712052171323,0.0003403755938209
IL2DL,16,-1.1630021200056229,-0.7589990050760098,0.7406499320621213,0.2338481642045152,0.2472805112912827,0.0365700061587721,M3,3,16,-0.8378214735230276,-0.3700884191425334,-0.0100963435665635,0.000760627602874
