neuron,cell_class,cluster_label,modularity_cluster_k5,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
OLQDL,Sensory,M3,3,0.014194469384942522,0.011520811970020627,0.002673657414921895,-0.0326671478443269,0.028842407529756996,0.2632414347745814,0.5,5,10,5,39.0,62.0
URAVL,Motorneuron,M3,3,0.014133865641398746,0.006515820553483182,0.007618045087915563,-0.03161934828801726,-0.01981062622625533,0.15970084286751188,0.4166666666666667,5,12,8,57.0,33.0
URADR,Motorneuron,M3,3,0.0028396220730899837,0.0029881797410297797,-0.00014855766793979604,-0.016423068838099533,0.02453332621566031,-0.0791812460476248,0.0,0,4,5,21.0,21.0
IL2DL,Sensory,M3,3,0.008300526044169693,0.0002051224527916345,0.008095403591378059,-0.01102329821957948,0.008869261407710593,0.6690067809585756,0.23076923076923078,3,13,2,85.0,2.0
URADL,Motorneuron,M3,3,0.002558232443458449,0.0025780684671335764,-1.983602367512747e-05,-0.006445655224464055,0.008569245915579005,-0.0791812460476248,0.0,0,4,5,27.0,32.0
URAVR,Motorneuron,M3,3,0.00561632150422828,0.0033878446383292025,0.0022284768658990778,-0.0013509457379679568,0.01792009812817937,0.24303804868629444,0.5384615384615384,7,13,7,42.0,27.0
IL2DR,Sensory,M3,3,0.010013199855688198,0.002640281974769431,0.007372917880918766,-0.0003309368269910486,0.028246746552981504,0.414973347970818,0.4166666666666667,5,12,4,115.0,14.0
CEPDL,Sensory,M3,3,0.03192878692990712,0.011903703096709703,0.020025083833197413,0.0018778648141152723,0.031164234054533817,0.10914446942506807,0.6538461538461539,17,26,20,175.0,41.0
OLQVR,Sensory,M3,3,0.0363002633213959,0.009630544375170835,0.026669718946225066,0.0031116311161349447,0.008477919983197408,-0.146128035678238,0.5555555555555556,5,9,13,90.0,71.0
IL2VR,Sensory,M3,3,0.01542040352665118,0.0036790565008367254,0.011741347025814454,0.004116946087845437,0.025924597993600806,0.3979400086720376,0.5714285714285714,8,14,5,150.0,14.0
CEPVL,Sensory,M3,3,0.03048716214917784,0.01682326525640161,0.01366389689277623,0.008011582336464072,0.04054094225804505,0.1962946451439682,0.5714285714285714,12,21,13,138.0,44.0
