neuron,n_recordings_te,NetTE_z,NeighborNetTE_z,NetTE,NeighborNetTE,cluster_label,cluster_sort
ADLL,9,-0.4207477220329644,1.04703717676356,-0.005194095797298164,0.004015673179613786,M4,2
ADLR,5,-0.0021480897206201943,0.4312453099081738,0.00017092939925816305,0.0026352675393143325,M4,2
AIBL,16,1.890975031067838,-0.28340242995304715,0.022378870609280135,0.001122463973709166,M4,2
AIML,3,0.9479728679493588,0.3449994749497923,0.01130751334777714,0.0026902627659949655,M4,2
AQR,4,-0.2947788829086723,0.5025925800255154,-0.003552547072126987,0.002835887265051781,M4,2
ASGL,15,0.5171888894433326,0.21751876579273452,0.006374750361532026,0.0023380396565427907,M4,2
ASHL,7,0.5657052201449063,0.8344151691548678,0.006302283315021899,0.0035138699013882837,M4,2
ASKL,3,-0.4871551680536404,0.07386933171832306,-0.005968429404686782,0.0026005216516004907,M4,2
AVAL,16,1.257436570049976,-0.40074211544190264,0.015028088887827157,0.0009634115313357742,M4,2
AVAR,14,1.0935459975165989,-0.31750602493161567,0.01311529327489422,0.0009279610970956965,M4,2
AVBL,4,1.167943710670556,-0.47872106529970343,0.01522149073312465,0.00019981351374744234,M4,2
AVBR,2,-0.15154755924606855,-0.060669159181682586,-0.0024651868034654438,0.0017206779062234842,M4,2
AVDL,16,-0.7635044920844077,-0.5326470995216077,-0.00884922053842727,0.0006317685057367868,M4,2
AVDR,12,-1.0853308942572284,-0.7657267283305506,-0.013541898054275683,1.619828045484786e-05,M4,2
AVHL,6,-1.0877719383451083,0.6943815946690209,-0.013934619887014436,0.0036348037264205078,M4,2
AVJL,17,-0.9058017583663753,0.08817410538532683,-0.010877623292276335,0.0016068067606908362,M4,2
AVJR,14,-0.8043378318330946,-1.4038171565464845,-0.009969217065774567,-0.0015811619875739636,M4,2
FLPL,16,-0.6855711755864731,-0.11149685234552514,-0.008110535902824222,0.0013624705526594427,M4,2
FLPR,9,-1.025589345094699,-0.8155383651921527,-0.01259045842367662,-0.001115085433628901,M4,2
RIMR,7,1.182593963251048,-0.3081312006107316,0.014489222897272669,0.000902203743967327,M4,2
SAADL,3,-0.17979229811801267,0.7478975758814402,-0.0015548059503923538,0.003074866251023286,M4,2
SAADR,4,-0.17722013650550542,0.8895254440997844,-0.0020076079399258605,0.0035161361757546257,M4,2
SAAVL,11,-0.4701050836629454,-0.08125965591299057,-0.005610064613279665,0.0015296707425310298,M4,2
SAAVR,4,-0.39754312079305143,0.234466249148122,-0.004511921021789826,0.002071260337076934,M4,2
SMBVR,2,1.146018065012072,0.19329492265872505,0.01358647188591492,0.0019525429930142822,M4,2
CEPDL,18,-0.5726811598916084,-0.09665073605094761,-0.006486732913672044,0.0014766326841409104,M3,3
CEPDR,17,-0.7943436679273223,0.4712982926520038,-0.009550037857240753,0.002830583390186315,M3,3
CEPVL,15,-0.8011102515208152,0.03373474713842404,-0.009634993593757845,0.0017423472106555587,M3,3
IL1DL,15,-0.5015186222508824,-0.3814135078111919,-0.006625439375032663,0.000412001428792059,M3,3
IL1DR,16,-0.19421223352332853,0.13733616848108474,-0.002664212637766107,0.0019301980971359763,M3,3
IL1VL,11,-0.5232792548019453,-0.35416406006189116,-0.007120521713230007,0.00034037559382098475,M3,3
IL2DL,16,-0.8378214735230276,-0.37008841914253343,-0.010096343566563597,0.0007606276028740528,M3,3
IL2DR,16,-0.7795502579092997,-0.7650642301544891,-0.00955670924541008,7.032650214672389e-05,M3,3
IL2L,15,-0.7566054851285242,0.42126599338956533,-0.008915395014080575,0.0028457356817269317,M3,3
IL2R,11,-0.47676334431847445,0.20640278064354323,-0.005556615807770759,0.0021701375117390916,M3,3
IL2VL,11,-0.9187837628793537,-1.1140185665306246,-0.01109449960614278,-0.001131177146930394,M3,3
IL2VR,13,-0.8391371670869064,-0.19596757126984057,-0.010233662014612168,0.001106799798280114,M3,3
OLQDL,17,0.7036697049598346,-0.1475411084394968,0.008652942069736545,0.001412770569712208,M3,3
OLQDR,16,-0.391821038658649,0.12543032125137774,-0.004710178110097427,0.0020090318317325514,M3,3
OLQVL,16,0.3078616861980271,-0.05304548839163829,0.003824402233949747,0.0016430956746566932,M3,3
OLQVR,12,-0.33430826499244537,-0.3705022664936746,-0.004519289831953631,0.0009110993489522953,M3,3
RICL,16,-0.3565798662152634,0.47187463862260637,-0.004165431213689849,0.002713895742440129,M3,3
RICR,10,-0.8824347695340349,0.005834524706967681,-0.010545963662845086,0.002004967358885129,M3,3
RIH,14,-0.15769543681596193,0.24862802710002993,-0.001894136789204938,0.0024701683058151367,M3,3
RMEL,15,1.077572183906142,0.03453334496988372,0.012910292140884867,0.0017277731746739536,M3,3
RMER,17,1.3040542352646514,-0.18282743825431155,0.015478329990302974,0.0012796392560187149,M3,3
RMEV,6,0.6962603257846842,0.1308959526701509,0.00819076246090961,0.001643601338592756,M3,3
URADL,8,-0.8596867862710584,0.5943354112279766,-0.010028919866088356,0.002110945736271997,M3,3
