Subject,Target,Variant,Metric,Transform,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,N,Level
12,PreDCA,unit_norm,ON_fraction,none,0.005856601052463343,0.9695425592677152,0.03465085638998682,0.821223394599641,45,subject
12,PreDCA,unit_norm,NO_fraction,none,0.07122363653435217,0.6419822881581998,-0.008563899868247694,0.9554750420799549,45,subject
12,PreDCA,unit_norm,NN_fraction,none,-0.03600556645479057,0.8143546725160432,-0.14426877470355728,0.3443987667492838,45,subject
12,PreDCA,unit_norm,InterOutDegree,log10(x+1),0.11366186157959876,0.4572242764391777,-0.020421607378129113,0.8940738762988346,45,subject
13,PostDCA,unit_norm,OO_fraction,none,0.7052495862695851,6.335341833069125e-08,0.6332015810276679,3.0427055834399275e-06,45,subject
13,PostDCA,unit_norm,ON_fraction,none,-0.509750132553255,0.00034796922626851,-0.46534914361001317,0.0012771733359378,45,subject
13,PostDCA,unit_norm,NO_fraction,none,0.6654897032306186,6.110459521802518e-07,0.5766798418972332,3.3804154292531886e-05,45,subject
13,PostDCA,unit_norm,NN_fraction,none,-0.5290337147563757,0.000186782028843638,-0.5166007905138339,0.0002801490100972532,45,subject
13,PostDCA,unit_norm,InterOutDegree,log10(x+1),-0.5011778428289193,0.00045351785389027285,-0.6081686429512515,9.359419724946139e-06,45,subject
13,PreDCA,unit_norm,OO_fraction,none,0.058426728361739476,0.7030287614480678,0.19486166007905137,0.19958846647607814,45,subject
13,PreDCA,unit_norm,ON_fraction,none,0.230150006723641,0.1282730187908845,0.19130434782608693,0.20808059808225265,45,subject
13,PreDCA,unit_norm,NO_fraction,none,-0.14807040723660247,0.33169775528124945,-0.08247694334650855,0.5901476380830453,45,subject
13,PreDCA,unit_norm,NN_fraction,none,-0.17019791820592367,0.2636638531090405,-0.26126482213438734,0.08299788258566335,45,subject
13,PreDCA,unit_norm,InterOutDegree,log10(x+1),0.10797875148965486,0.4801702623036906,-0.12187088274044795,0.42515580167224787,45,subject
14,PostDCA,unit_norm,OO_fraction,none,0.7598330871007414,1.4250247038486002e-09,0.6712779973649537,4.488023375810523e-07,45,subject
14,PostDCA,unit_norm,ON_fraction,none,-0.5908102422338207,1.931604242005537e-05,-0.5202898550724637,0.00024880406029046943,45,subject
14,PostDCA,unit_norm,NO_fraction,none,0.6950326884230142,1.1739541216157873e-07,0.603820816864295,1.126684288903686e-05,45,subject
14,PostDCA,unit_norm,NN_fraction,none,-0.4662972067974277,0.0012444233574449893,-0.4872200263504611,0.0006880160017542735,45,subject
14,PostDCA,unit_norm,InterOutDegree,log10(x+1),-0.5331174517649039,0.0001629317559766351,-0.5137022397891962,0.00030723312836063724,45,subject
14,PreDCA,unit_norm,OO_fraction,none,-0.04288499036013734,0.7796965285788194,0.026877470355731226,0.8608773438235948,45,subject
14,PreDCA,unit_norm,ON_fraction,none,0.152094257479076,0.3185770014165803,0.23003952569169958,0.12846144532337916,45,subject
14,PreDCA,unit_norm,NO_fraction,none,-0.044492231991793606,0.7716572046650124,-0.10237154150197628,0.5033896413748299,45,subject
14,PreDCA,unit_norm,NN_fraction,none,-0.10492853353096343,0.4927307918679092,-0.1635046113306983,0.283181349681444,45,subject
14,PreDCA,unit_norm,InterOutDegree,log10(x+1),0.27458026249987355,0.06794531343770228,0.1482213438735178,0.3311995923862129,45,subject
15,PostDCA,unit_norm,OO_fraction,none,0.6768609000832035,3.3110610426910026e-07,0.564163372859025,5.433449389213567e-05,45,subject
15,PostDCA,unit_norm,ON_fraction,none,-0.45673817955310414,0.0016116074082529624,-0.4134387351778656,0.004759179873135975,45,subject
15,PostDCA,unit_norm,NO_fraction,none,0.5329272389501356,0.00016397817072642105,0.5006587615283267,0.0004607493215130164,45,subject
15,PostDCA,unit_norm,NN_fraction,none,-0.49198000290068034,0.000598045395032143,-0.5010540184453228,0.0004552335495061196,45,subject
15,PostDCA,unit_norm,InterOutDegree,log10(x+1),-0.5028440856882865,0.0004309897105518762,-0.4853754940711462,0.0007260197761318407,45,subject
15,PreDCA,unit_norm,OO_fraction,none,-0.1071658443103126,0.4835011911564117,0.05467720685111989,0.7212928326250859,45,subject
15,PreDCA,unit_norm,ON_fraction,none,0.18361701653680274,0.2272871115410532,0.2602108036890646,0.08429260437509707,45,subject
15,PreDCA,unit_norm,NO_fraction,none,-0.08549941936883135,0.5765493957843595,-0.11343873517786561,0.4581138076619704,45,subject
15,PreDCA,unit_norm,NN_fraction,none,-0.034479227614426455,0.822094551617686,-0.18616600790513835,0.22078810619920955,45,subject
15,PreDCA,unit_norm,InterOutDegree,log10(x+1),0.11680251405228774,0.4448033092216792,-0.07878787878787878,0.606935113499285,45,subject
16,PostDCA,unit_norm,OO_fraction,none,0.6507779694139395,1.29998130376497e-06,0.5889328063241106,2.083860163663721e-05,45,subject
16,PostDCA,unit_norm,ON_fraction,none,-0.5793191953672454,3.0508836178342265e-05,-0.5346508563899868,0.00015471475019293403,45,subject
16,PostDCA,unit_norm,NO_fraction,none,0.6991733051765344,9.171117069232392e-08,0.6266139657444005,4.128853152997941e-06,45,subject
16,PostDCA,unit_norm,NN_fraction,none,-0.43974376435444895,0.002506792428733378,-0.4068511198945981,0.00554501275621794,45,subject
16,PostDCA,unit_norm,InterOutDegree,log10(x+1),-0.4792912322001717,0.0008650675186714284,-0.47628458498023707,0.000942199368351777,45,subject
16,PreDCA,unit_norm,OO_fraction,none,-0.13657671110189434,0.37099829138940854,0.029907773386034252,0.8453731564666687,45,subject
16,PreDCA,unit_norm,ON_fraction,none,0.23783897365744808,0.11566198197543603,0.2708827404479578,0.07188925883157518,45,subject
16,PreDCA,unit_norm,NO_fraction,none,-0.19192306762127004,0.20658570703600784,-0.19249011857707507,0.20522227297721657,45,subject
16,PreDCA,unit_norm,NN_fraction,none,0.006365763976957952,0.9668960487451329,-0.11264822134387352,0.4612728484630994,45,subject
16,PreDCA,unit_norm,InterOutDegree,log10(x+1),0.17594067988996545,0.2476488295339985,0.03504611330698287,0.8192179514817974,45,subject
17,PostDCA,unit_norm,OO_fraction,none,0.7074385540184722,5.532338009297304e-08,0.6480895915678524,1.485781344442408e-06,45,subject
17,PostDCA,unit_norm,ON_fraction,none,-0.6147323243064368,7.0365101474962325e-06,-0.5235836627140974,0.00022353562295637086,45,subject
17,PostDCA,unit_norm,NO_fraction,none,0.73994317752537,6.328487203449866e-09,0.6575757575757575,9.218509215670064e-07,45,subject
17,PostDCA,unit_norm,NN_fraction,none,-0.4518305742246353,0.0018351433416819872,-0.447562582345191,0.0020514400207991552,45,subject
17,PostDCA,unit_norm,InterOutDegree,log10(x+1),-0.3795764540380866,0.010121078876106597,-0.37667984189723314,0.010758439455532455,45,subject
17,PreDCA,unit_norm,OO_fraction,none,-0.19618780044840775,0.19648604593085608,-0.022924901185770747,0.8811773187002222,45,subject
17,PreDCA,unit_norm,ON_fraction,none,0.07533930432402466,0.6228114901104811,0.0764163372859025,0.6178344514814731,45,subject
17,PreDCA,unit_norm,NO_fraction,none,-0.02299387630296654,0.8808223846493183,-0.012648221343873516,0.9342789597600547,45,subject
17,PreDCA,unit_norm,NN_fraction,none,0.07842835806246581,0.6085820951587225,-0.005533596837944664,0.9712216296203472,45,subject
17,PreDCA,unit_norm,InterOutDegree,log10(x+1),0.11123551127669011,0.4669474209081202,0.013438735177865613,0.9301812259845265,45,subject
18,PostDCA,unit_norm,OO_fraction,none,0.7109929517370457,4.4278021093007266e-08,0.6031620553359682,1.1585213171992318e-05,45,subject
18,PostDCA,unit_norm,ON_fraction,none,-0.5274689497175821,0.00019672912323575939,-0.5063241106719367,0.00038715664774966504,45,subject
18,PostDCA,unit_norm,NO_fraction,none,0.5737435659482951,3.7850904243421045e-05,0.5517786561264822,8.530765921833532e-05,45,subject
18,PostDCA,unit_norm,NN_fraction,none,-0.4626078516396146,0.0013762269660693594,-0.4432147562582345,0.0022946757747277073,45,subject
18,PostDCA,unit_norm,InterOutDegree,log10(x+1),-0.4614750065210704,0.0014191169766358497,-0.38115942028985506,0.00978667396412807,45,subject
18,PreDCA,unit_norm,OO_fraction,none,-0.19078996433776818,0.20932914825356455,0.0025032938076416334,0.9869790468213959,45,subject
18,PreDCA,unit_norm,ON_fraction,none,0.09315453739938478,0.5427626521038926,0.07101449275362318,0.6429627921139479,45,subject
18,PreDCA,unit_norm,NO_fraction,none,-0.08944674943786221,0.5590081294641526,-0.022266139657444003,0.8845683421116227,45,subject
18,PreDCA,unit_norm,NN_fraction,none,0.12819740882170824,0.4013316223602227,-0.01699604743083004,0.9117650131626562,45,subject
18,PreDCA,unit_norm,InterOutDegree,log10(x+1),0.043195478384951455,0.7781416857082298,-0.09077733860342556,0.5531521001241132,45,subject
