Subject,Region,RegionID,Division,PostDCA,NeuronCount,RegionwiseMetastability,GlobalMetastability,TraceSource,MetastabilityDefinition
12,rNX,71,Hind,-0.6893400895121092,484,0.09843141551994941,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rRa,46,Hind,-0.7676411283127857,201,0.14372642766180277,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rT,47,Hind,-1.0407411074881572,1437,0.05840312708268576,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,raRF,48,Hind,-0.6631233902290617,208,0.07679773339260397,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rimRF,49,Hind,-1.54619502907132,436,0.07756636620747297,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rpRF,50,Hind,0.10367599956677641,535,0.11991452585067246,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lOB,20,Tel,0.8396904821626903,254,0.19758926151856143,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lP,22,Tel,1.231407127758574,1563,0.12145100151527548,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lPO,25,Tel,1.5972895725725633,557,0.11578090742781266,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lSP,28,Tel,1.3712731940440057,988,0.12814196394194186,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rP,58,Tel,1.6274838194004198,1354,0.11577423569646891,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rPO,61,Tel,1.5828504374539252,624,0.11490121898655777,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rSP,64,Tel,0.8449219250677052,1066,0.1251796041974295,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lHb,16,Di,2.3676084202295034,556,0.2136649246883664,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lPT,24,Di,0.4045887279983318,420,0.1376839381812259,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lPrT,26,Di,-0.760839251044076,541,0.1254342211811189,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lTh,30,Di,-0.27932436463978083,901,0.11213947034406667,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rHb,52,Di,1.269284446459516,466,0.20023830300437898,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rPT,60,Di,0.6955220273189893,499,0.13687356158527564,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rPrT,62,Di,-0.8729101402526896,493,0.09206623168474802,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rTh,66,Di,0.12267948011021526,1300,0.11934398524838748,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lTS,32,Mes,-0.038289558822681,118,0.19756182877611483,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lTeO,29,Mes,-0.22102994971595435,7514,0.159462246995958,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rTS,68,Mes,-0.0707917864782934,144,0.15839418093781568,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rTeO,65,Mes,-0.9360345644680327,7228,0.1464945945859272,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lCb,1,Hind,-0.23156409707923123,1875,0.09846423837966557,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lMON,0,Hind,-0.1885718314625819,1012,0.1838613793020989,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lMOS1,2,Hind,0.20229532589358945,1217,0.08949446150229705,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lMOS2,3,Hind,-0.007147165310974443,627,0.11138198721772778,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lMOS3,4,Hind,-0.5280442068802194,1262,0.12876162189859813,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lMOS4,5,Hind,0.1781221791123736,967,0.0775501680112842,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lMOS5,6,Hind,0.07904857777849517,1257,0.14362858696709144,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lNX,35,Hind,0.5159242026090447,340,0.12465995621948332,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lRa,10,Hind,-0.07359117253107073,382,0.0964596270306314,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lT,11,Hind,-0.7772193815657938,1384,0.09563099426092371,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,laRF,12,Hind,-0.564318946902863,603,0.12586759405057954,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,limRF,13,Hind,-1.4314709184810288,814,0.10898315615975164,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,lpRF,14,Hind,-0.6214145198808102,953,0.1052437460520415,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rCb,37,Hind,-0.5336652505464933,1969,0.14043683840663926,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rMON,36,Hind,-0.20825183989935483,1179,0.1822347360908855,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rMOS1,38,Hind,0.16364639867929043,1455,0.08367864254636719,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rMOS2,39,Hind,0.8422349936180663,648,0.10237853273463801,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rMOS3,40,Hind,-0.5651363701456422,1513,0.1184821123972409,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rMOS4,41,Hind,0.12590502818072719,1291,0.08851280975394879,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rMOS5,42,Hind,0.14031625821006288,1685,0.12551218967771724,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rNX,71,Hind,-0.6893400895121092,449,0.15667649449402385,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rRa,46,Hind,-0.7676411283127857,231,0.11262895738023503,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rT,47,Hind,-1.0407411074881572,1382,0.0645883333997651,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,raRF,48,Hind,-0.6631233902290617,704,0.09002726424338713,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rimRF,49,Hind,-1.54619502907132,777,0.09288430754620353,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
13,rpRF,50,Hind,0.10367599956677641,1043,0.10899170059860754,0.042079585742523594,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
14,lOB,20,Tel,0.8396904821626903,192,0.2535919636124747,0.0332689990645755,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
14,lP,22,Tel,1.231407127758574,1221,0.1545620233740195,0.0332689990645755,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
14,lPO,25,Tel,1.5972895725725633,631,0.10042902206211121,0.0332689990645755,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
14,lSP,28,Tel,1.3712731940440057,1001,0.17509682764452303,0.0332689990645755,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
14,rP,58,Tel,1.6274838194004198,1123,0.1231768698578337,0.0332689990645755,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
14,rPO,61,Tel,1.5828504374539252,624,0.09793713822460626,0.0332689990645755,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
