Subject,StimulusIndex,Region,RegionID,Division,PostDCA,FCShift,NTimepoints,SpotNeuronCount,StimNeuronCount,Definition
12,9,lPO,25,Tel,1.5972895725725633,2.0283500766862756,150,425,425,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,lSP,28,Tel,1.3712731940440057,1.7348094845741087,150,679,679,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rP,58,Tel,1.6274838194004198,1.1933287644047885,150,976,976,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rPO,61,Tel,1.5828504374539252,2.018951344555627,150,382,382,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rSP,64,Tel,0.8449219250677052,1.8908824010830678,150,658,658,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,lHb,16,Di,2.3676084202295034,2.035009141476878,150,309,309,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,lPT,24,Di,0.4045887279983318,1.8689699590093292,150,379,379,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,lPrT,26,Di,-0.760839251044076,1.7000140998812956,150,407,407,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,lTh,30,Di,-0.27932436463978083,1.587317493921438,150,1186,1186,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rHb,52,Di,1.269284446459516,2.8109601227809744,150,260,260,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rPT,60,Di,0.6955220273189893,1.9702370424995235,150,407,407,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rPrT,62,Di,-0.8729101402526896,1.557850183158928,150,577,577,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rTh,66,Di,0.12267948011021526,1.764183208183572,150,1297,1297,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,lTS,32,Mes,-0.038289558822681,1.2348754887603928,150,404,404,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,lTeO,29,Mes,-0.22102994971595435,1.7418413100106465,150,6182,6182,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,rTS,68,Mes,-0.0707917864782934,1.1747788209711574,150,130,130,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
